alpha,He,Cr,S,Cr_1,S_1,amu/ion,phiK_Cr,phiTilt_Cr,phiM_Cr,phiN_Cr,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,energyK_Cr,energyE_Cr,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,1.694E-02,3.125E-06,3.684E-02,7.099E-02,5.072E+00,1.865E+00,2.591E-02,1.173E+00,1.319E+00,3.142E+00,-3.603E-03,2.376E+00,2.324E+00,8.765E-02,4.739E+00,1.776E+00,-3.699E-02,1.788E+00,1.313E+00,3.142E+00,6.121E-04,2.505E+00,2.515E+00,1.586E-01,2.809E+00
1,0.000E+00,1.685E-02,3.125E-06,3.719E-02,7.145E-02,5.101E+00,1.841E+00,1.315E-02,1.225E+00,1.365E+00,3.142E+00,-3.343E-03,2.369E+00,2.321E+00,8.781E-02,4.732E+00,1.762E+00,-3.721E-02,1.774E+00,1.382E+00,3.142E+00,2.643E-04,2.515E+00,2.519E+00,1.586E-01,2.809E+00
2,0.000E+00,1.676E-02,3.125E-06,3.754E-02,7.190E-02,5.129E+00,1.818E+00,3.863E-04,1.277E+00,1.410E+00,3.142E+00,-3.084E-03,2.363E+00,2.318E+00,8.797E-02,4.724E+00,1.750E+00,-3.743E-02,1.760E+00,1.450E+00,3.142E+00,-8.348E-05,2.525E+00,2.524E+00,1.586E-01,2.809E+00
3,0.000E+00,1.667E-02,3.125E-06,3.790E-02,7.236E-02,5.157E+00,1.809E+00,-1.238E-02,1.329E+00,1.455E+00,3.142E+00,-2.825E-03,2.356E+00,2.315E+00,8.812E-02,4.716E+00,1.738E+00,-3.765E-02,1.746E+00,1.518E+00,3.142E+00,-4.313E-04,2.535E+00,2.528E+00,1.586E-01,2.810E+00
4,0.000E+00,1.662E-02,3.125E-06,3.808E-02,7.259E-02,5.171E+00,1.805E+00,-1.876E-02,1.355E+00,1.478E+00,3.142E+00,-2.695E-03,2.353E+00,2.314E+00,8.820E-02,4.712E+00,1.732E+00,-3.776E-02,1.738E+00,1.552E+00,3.142E+00,-6.051E-04,2.540E+00,2.530E+00,1.586E-01,2.810E+00
5,0.000E+00,1.658E-02,3.125E-06,3.825E-02,7.281E-02,5.186E+00,1.802E+00,-2.514E-02,1.381E+00,1.501E+00,3.142E+00,-2.565E-03,2.349E+00,2.313E+00,8.828E-02,4.708E+00,1.727E+00,-3.787E-02,1.731E+00,1.586E+00,3.142E+00,-7.790E-04,2.545E+00,2.533E+00,1.585E-01,2.810E+00
6,0.000E+00,1.649E-02,3.125E-06,3.861E-02,7.327E-02,5.214E+00,1.794E+00,-3.790E-02,1.433E+00,1.546E+00,3.142E+00,-2.306E-03,2.343E+00,2.310E+00,8.844E-02,4.701E+00,1.716E+00,-3.810E-02,1.717E+00,1.654E+00,3.142E+00,-1.127E-03,2.555E+00,2.537E+00,1.585E-01,2.810E+00
7,0.000E+00,1.640E-02,3.125E-06,3.896E-02,7.373E-02,5.242E+00,1.787E+00,-5.066E-02,1.485E+00,1.592E+00,3.142E+00,-2.047E-03,2.336E+00,2.307E+00,8.860E-02,4.693E+00,1.706E+00,-3.832E-02,1.703E+00,1.722E+00,3.142E+00,-1.475E-03,2.565E+00,2.541E+00,1.585E-01,2.811E+00
8,0.000E+00,1.631E-02,3.125E-06,3.931E-02,7.418E-02,5.271E+00,1.780E+00,-6.343E-02,1.537E+00,1.637E+00,3.142E+00,-1.787E-03,2.329E+00,2.304E+00,8.876E-02,4.685E+00,1.697E+00,-3.854E-02,1.689E+00,1.791E+00,3.142E+00,-1.822E-03,2.575E+00,2.546E+00,1.585E-01,2.811E+00
9,0.000E+00,1.626E-02,3.125E-06,3.949E-02,7.441E-02,5.285E+00,1.777E+00,-6.981E-02,1.563E+00,1.660E+00,3.142E+00,-1.658E-03,2.326E+00,2.303E+00,8.884E-02,4.681E+00,1.692E+00,-3.865E-02,1.682E+00,1.825E+00,3.142E+00,-1.996E-03,2.580E+00,2.548E+00,1.585E-01,2.811E+00
10,0.000E+00,1.622E-02,3.125E-06,3.967E-02,7.464E-02,5.299E+00,1.774E+00,-7.619E-02,1.589E+00,1.682E+00,3.142E+00,-1.528E-03,2.322E+00,2.301E+00,8.891E-02,4.678E+00,1.688E+00,-3.876E-02,1.675E+00,1.859E+00,3.142E+00,-2.170E-03,2.585E+00,2.550E+00,1.585E-01,2.811E+00
11,0.000E+00,1.644E-02,3.320E-06,4.034E-02,7.578E-02,5.382E+00,1.777E+00,-9.335E-02,1.690E+00,1.654E+00,3.142E+00,-1.338E-03,2.327E+00,2.309E+00,8.866E-02,4.690E+00,1.687E+00,-5.039E-02,1.755E+00,1.847E+00,3.142E+00,-1.881E-03,2.581E+00,2.551E+00,1.582E-01,2.816E+00
12,0.000E+00,1.666E-02,3.516E-06,4.102E-02,7.691E-02,5.465E+00,1.781E+00,-1.105E-01,1.791E+00,1.626E+00,3.142E+00,-1.148E-03,2.332E+00,2.316E+00,8.841E-02,4.702E+00,1.686E+00,-6.202E-02,1.836E+00,1.835E+00,3.142E+00,-1.592E-03,2.577E+00,2.552E+00,1.579E-01,2.821E+00
13,0.000E+00,1.688E-02,3.711E-06,4.170E-02,7.804E-02,5.548E+00,1.786E+00,-1.277E-01,1.892E+00,1.598E+00,3.142E+00,-9.580E-04,2.337E+00,2.324E+00,8.816E-02,4.714E+00,1.686E+00,-7.365E-02,1.917E+00,1.823E+00,3.142E+00,-1.303E-03,2.574E+00,2.553E+00,1.576E-01,2.826E+00
14,0.000E+00,1.699E-02,3.809E-06,4.203E-02,7.861E-02,5.589E+00,1.788E+00,-1.363E-01,1.943E+00,1.584E+00,3.142E+00,-8.630E-04,2.339E+00,2.327E+00,8.804E-02,4.721E+00,1.687E+00,-7.946E-02,1.957E+00,1.817E+00,3.142E+00,-1.159E-03,2.572E+00,2.553E+00,1.575E-01,2.829E+00
15,0.000E+00,1.710E-02,3.906E-06,4.237E-02,7.918E-02,5.631E+00,1.791E+00,-1.448E-01,1.993E+00,1.570E+00,3.142E+00,-7.681E-04,2.342E+00,2.331E+00,8.791E-02,4.727E+00,1.687E+00,-8.527E-02,1.998E+00,1.810E+00,3.142E+00,-1.015E-03,2.570E+00,2.554E+00,1.573E-01,2.831E+00
16,0.000E+00,1.732E-02,4.102E-06,4.305E-02,8.031E-02,5.714E+00,1.798E+00,-1.620E-01,2.094E+00,1.542E+00,3.142E+00,-5.781E-04,2.347E+00,2.339E+00,8.766E-02,4.739E+00,1.688E+00,-9.690E-02,2.079E+00,1.798E+00,3.142E+00,-7.257E-04,2.566E+00,2.554E+00,1.570E-01,2.836E+00
17,0.000E+00,1.754E-02,4.297E-06,4.372E-02,8.145E-02,5.797E+00,1.805E+00,-1.792E-01,2.195E+00,1.514E+00,3.142E+00,-3.882E-04,2.352E+00,2.346E+00,8.741E-02,4.751E+00,1.689E+00,-1.085E-01,2.159E+00,1.786E+00,3.142E+00,-4.368E-04,2.562E+00,2.555E+00,1.567E-01,2.841E+00
18,0.000E+00,1.776E-02,4.492E-06,4.440E-02,8.258E-02,5.880E+00,1.813E+00,-1.963E-01,2.296E+00,1.486E+00,3.142E+00,-1.982E-04,2.356E+00,2.354E+00,8.716E-02,4.763E+00,1.691E+00,-1.202E-01,2.240E+00,1.774E+00,3.142E+00,-1.479E-04,2.558E+00,2.556E+00,1.564E-01,2.846E+00
19,0.000E+00,1.787E-02,4.590E-06,4.474E-02,8.315E-02,5.921E+00,1.817E+00,-2.049E-01,2.347E+00,1.472E+00,3.142E+00,-1.032E-04,2.359E+00,2.357E+00,8.704E-02,4.770E+00,1.692E+00,-1.260E-01,2.281E+00,1.768E+00,3.142E+00,-3.503E-06,2.557E+00,2.556E+00,1.563E-01,2.848E+00
20,0.000E+00,1.798E-02,4.688E-06,4.508E-02,8.372E-02,5.963E+00,1.822E+00,-2.135E-01,2.397E+00,1.458E+00,3.142E+00,-8.250E-06,2.361E+00,2.361E+00,8.691E-02,4.776E+00,1.693E+00,-1.318E-01,2.321E+00,1.762E+00,3.142E+00,1.409E-04,2.555E+00,2.557E+00,1.562E-01,2.851E+00
21,0.000E+00,1.827E-02,4.883E-06,4.643E-02,8.588E-02,6.117E+00,1.815E+00,-2.299E-01,2.559E+00,1.463E+00,3.142E+00,-4.156E-04,2.371E+00,2.364E+00,8.698E-02,4.773E+00,1.692E+00,-1.345E-01,2.335E+00,1.772E+00,3.142E+00,-1.733E-05,2.557E+00,2.557E+00,1.561E-01,2.852E+00
22,0.000E+00,1.855E-02,5.078E-06,4.778E-02,8.804E-02,6.272E+00,1.810E+00,-2.463E-01,2.720E+00,1.468E+00,3.142E+00,-8.229E-04,2.380E+00,2.368E+00,8.704E-02,4.769E+00,1.691E+00,-1.372E-01,2.349E+00,1.783E+00,3.142E+00,-1.756E-04,2.559E+00,2.557E+00,1.560E-01,2.853E+00
23,0.000E+00,1.884E-02,5.273E-06,4.913E-02,9.021E-02,6.426E+00,1.805E+00,-2.626E-01,2.881E+00,1.473E+00,3.142E+00,-1.230E-03,2.389E+00,2.371E+00,8.711E-02,4.766E+00,1.689E+00,-1.400E-01,2.363E+00,1.793E+00,3.142E+00,-3.339E-04,2.562E+00,2.556E+00,1.560E-01,2.853E+00
24,0.000E+00,1.898E-02,5.371E-06,4.980E-02,9.129E-02,6.503E+00,1.804E+00,-2.708E-01,2.962E+00,1.475E+00,3.142E+00,-1.434E-03,2.394E+00,2.373E+00,8.714E-02,4.765E+00,1.689E+00,-1.413E-01,2.370E+00,1.798E+00,3.142E+00,-4.130E-04,2.563E+00,2.556E+00,1.560E-01,2.854E+00
25,0.000E+00,1.913E-02,5.469E-06,5.048E-02,9.237E-02,6.580E+00,1.802E+00,-2.790E-01,3.043E+00,1.478E+00,3.142E+00,-1.637E-03,2.399E+00,2.374E+00,8.717E-02,4.763E+00,1.688E+00,-1.427E-01,2.377E+00,1.803E+00,3.142E+00,-4.921E-04,2.564E+00,2.556E+00,1.559E-01,2.854E+00
