alpha,H,Mg,Si,O,Mg_1,O_1,Si_2,O_2,amu/ion,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
66,0.000E+00,1.576E-02,5.273E-04,0.000E+00,0.000E+00,9.766E-07,1.510E-02,4.705E-02,1.575E+00,1.537E+00,-6.924E-01,2.146E+01,1.905E+00,3.142E+00,-2.405E-03,2.657E+00,2.614E+00,2.123E-01,1.739E+00,1.557E+00,-6.575E-01,1.630E+01,1.946E+00,3.142E+00,-5.470E-05,2.702E+00,2.699E+00,9.973E-02,3.497E+00,1.537E+00,-8.966E-01,2.914E+01,2.232E+00,3.142E+00,-2.454E-03,2.604E+00,2.565E+00,4.474E-02,5.897E+00
67,0.000E+00,1.695E-02,3.594E-04,0.000E+00,0.000E+00,1.953E-06,1.641E-02,5.050E-02,1.691E+00,1.515E+00,-6.755E-01,2.044E+01,1.993E+00,3.142E+00,-4.272E-04,2.578E+00,2.567E+00,2.135E-01,1.730E+00,1.538E+00,-6.615E-01,1.741E+01,1.987E+00,3.142E+00,1.660E-03,2.626E+00,2.650E+00,9.894E-02,3.520E+00,1.514E+00,-8.839E-01,2.829E+01,2.335E+00,3.142E+00,-2.874E-03,2.615E+00,2.568E+00,4.510E-02,5.863E+00
68,0.000E+00,1.814E-02,1.914E-04,0.000E+00,0.000E+00,2.930E-06,1.773E-02,5.396E-02,1.807E+00,1.495E+00,-6.585E-01,1.941E+01,2.081E+00,3.142E+00,1.551E-03,2.499E+00,2.520E+00,2.148E-01,1.722E+00,1.520E+00,-6.656E-01,1.852E+01,2.027E+00,3.142E+00,3.375E-03,2.549E+00,2.601E+00,9.815E-02,3.544E+00,1.492E+00,-8.713E-01,2.745E+01,2.438E+00,3.142E+00,-3.295E-03,2.625E+00,2.572E+00,4.545E-02,5.830E+00
69,0.000E+00,1.873E-02,1.074E-04,0.000E+00,0.000E+00,3.418E-06,1.839E-02,5.568E-02,1.866E+00,1.486E+00,-6.501E-01,1.890E+01,2.125E+00,3.142E+00,2.540E-03,2.459E+00,2.496E+00,2.154E-01,1.717E+00,1.511E+00,-6.676E-01,1.907E+01,2.048E+00,3.142E+00,4.233E-03,2.511E+00,2.576E+00,9.776E-02,3.555E+00,1.481E+00,-8.649E-01,2.703E+01,2.490E+00,3.142E+00,-3.505E-03,2.630E+00,2.573E+00,4.563E-02,5.813E+00
70,0.000E+00,1.933E-02,2.344E-05,0.000E+00,0.000E+00,3.906E-06,1.905E-02,5.741E-02,1.924E+00,1.477E+00,-6.416E-01,1.839E+01,2.169E+00,3.142E+00,3.529E-03,2.419E+00,2.472E+00,2.160E-01,1.713E+00,1.503E+00,-6.696E-01,1.962E+01,2.068E+00,3.142E+00,5.091E-03,2.473E+00,2.552E+00,9.736E-02,3.567E+00,1.471E+00,-8.586E-01,2.661E+01,2.541E+00,3.142E+00,-3.715E-03,2.635E+00,2.575E+00,4.580E-02,5.796E+00
71,0.000E+00,2.046E-02,1.563E-05,0.000E+00,0.000E+00,2.734E-06,2.030E-02,6.108E-02,2.045E+00,1.450E+00,-6.259E-01,1.813E+01,2.271E+00,3.142E+00,1.998E-03,2.422E+00,2.452E+00,2.132E-01,1.733E+00,1.459E+00,-6.538E-01,1.880E+01,2.281E+00,3.142E+00,4.846E-03,2.498E+00,2.575E+00,9.732E-02,3.569E+00,1.412E+00,-8.729E-01,3.228E+01,2.757E+00,3.142E+00,-4.332E-04,2.534E+00,2.525E+00,4.482E-02,5.890E+00
72,0.000E+00,2.159E-02,7.813E-06,0.000E+00,0.000E+00,1.562E-06,2.156E-02,6.475E-02,2.166E+00,1.424E+00,-6.101E-01,1.787E+01,2.373E+00,3.142E+00,4.680E-04,2.424E+00,2.431E+00,2.103E-01,1.753E+00,1.420E+00,-6.381E-01,1.798E+01,2.494E+00,3.142E+00,4.601E-03,2.524E+00,2.597E+00,9.727E-02,3.570E+00,1.362E+00,-8.872E-01,3.796E+01,2.973E+00,3.142E+00,2.848E-03,2.433E+00,2.476E+00,4.384E-02,5.985E+00
73,0.000E+00,2.286E-02,3.906E-06,0.000E+00,0.000E+00,2.734E-06,2.285E-02,6.857E-02,2.295E+00,1.389E+00,-5.939E-01,1.686E+01,2.596E+00,3.142E+00,2.485E-04,2.446E+00,2.450E+00,2.099E-01,1.756E+00,1.406E+00,-6.370E-01,1.830E+01,2.561E+00,3.142E+00,4.176E-03,2.483E+00,2.549E+00,9.812E-02,3.544E+00,1.335E+00,-8.719E-01,3.527E+01,3.184E+00,3.142E+00,1.977E-03,2.464E+00,2.494E+00,4.297E-02,6.075E+00
74,0.000E+00,2.413E-02,0.000E+00,0.000E+00,0.000E+00,3.906E-06,2.415E-02,7.240E-02,2.423E+00,1.359E+00,-5.778E-01,1.586E+01,2.819E+00,3.142E+00,2.905E-05,2.468E+00,2.468E+00,2.096E-01,1.758E+00,1.391E+00,-6.360E-01,1.863E+01,2.628E+00,3.142E+00,3.750E-03,2.443E+00,2.500E+00,9.897E-02,3.519E+00,1.312E+00,-8.567E-01,3.257E+01,3.395E+00,3.142E+00,1.106E-03,2.496E+00,2.513E+00,4.210E-02,6.164E+00
75,0.000E+00,2.563E-02,3.906E-07,0.000E+00,3.906E-07,5.469E-06,2.555E-02,7.673E-02,2.568E+00,1.334E+00,-5.612E-01,1.568E+01,2.942E+00,3.142E+00,2.731E-03,2.409E+00,2.449E+00,2.110E-01,1.748E+00,1.353E+00,-6.125E-01,1.751E+01,2.871E+00,3.142E+00,6.535E-03,2.394E+00,2.492E+00,9.781E-02,3.554E+00,1.281E+00,-8.312E-01,2.947E+01,3.689E+00,3.142E+00,3.399E-04,2.498E+00,2.503E+00,4.165E-02,6.212E+00
76,0.000E+00,2.713E-02,7.812E-07,0.000E+00,7.812E-07,7.031E-06,2.696E-02,8.106E-02,2.714E+00,1.311E+00,-5.446E-01,1.550E+01,3.066E+00,3.142E+00,5.432E-03,2.350E+00,2.430E+00,2.124E-01,1.738E+00,1.321E+00,-5.891E-01,1.639E+01,3.113E+00,3.142E+00,9.320E-03,2.346E+00,2.484E+00,9.665E-02,3.589E+00,1.256E+00,-8.057E-01,2.637E+01,3.984E+00,3.142E+00,-4.258E-04,2.501E+00,2.494E+00,4.121E-02,6.260E+00
77,0.000E+00,2.858E-02,7.812E-07,0.000E+00,1.172E-06,1.133E-05,2.857E-02,8.569E-02,2.868E+00,1.267E+00,-5.272E-01,1.477E+01,3.451E+00,3.142E+00,5.121E-03,2.317E+00,2.390E+00,2.082E-01,1.769E+00,1.299E+00,-5.783E-01,1.587E+01,3.298E+00,3.142E+00,1.030E-02,2.295E+00,2.444E+00,9.537E-02,3.630E+00,1.223E+00,-8.090E-01,2.796E+01,4.241E+00,3.142E+00,1.194E-02,2.260E+00,2.416E+00,4.152E-02,6.227E+00
78,0.000E+00,3.003E-02,7.812E-07,0.000E+00,1.562E-06,1.563E-05,3.019E-02,9.033E-02,3.023E+00,1.229E+00,-5.098E-01,1.405E+01,3.837E+00,3.142E+00,4.810E-03,2.283E+00,2.351E+00,2.039E-01,1.800E+00,1.279E+00,-5.676E-01,1.535E+01,3.483E+00,3.142E+00,1.129E-02,2.244E+00,2.404E+00,9.408E-02,3.671E+00,1.194E+00,-8.123E-01,2.954E+01,4.498E+00,3.142E+00,2.431E-02,2.019E+00,2.339E+00,4.182E-02,6.194E+00
79,0.000E+00,3.138E-02,7.812E-07,0.000E+00,3.906E-06,2.266E-05,3.147E-02,9.429E-02,3.156E+00,1.192E+00,-4.896E-01,1.339E+01,4.260E+00,3.142E+00,7.657E-03,2.207E+00,2.311E+00,2.070E-01,1.777E+00,1.245E+00,-5.583E-01,1.478E+01,3.854E+00,3.142E+00,1.648E-02,2.133E+00,2.356E+00,9.236E-02,3.729E+00,1.114E+00,-7.875E-01,2.814E+01,5.545E+00,3.142E+00,2.031E-02,2.081E+00,2.353E+00,4.029E-02,6.369E+00
80,0.000E+00,3.273E-02,7.812E-07,0.000E+00,6.250E-06,2.969E-05,3.275E-02,9.826E-02,3.288E+00,1.161E+00,-4.694E-01,1.272E+01,4.683E+00,3.142E+00,1.050E-02,2.130E+00,2.271E+00,2.101E-01,1.754E+00,1.216E+00,-5.489E-01,1.421E+01,4.225E+00,3.142E+00,2.166E-02,2.023E+00,2.307E+00,9.063E-02,3.787E+00,1.054E+00,-7.628E-01,2.674E+01,6.592E+00,3.142E+00,1.631E-02,2.143E+00,2.367E+00,3.875E-02,6.544E+00
81,0.000E+00,3.311E-02,1.562E-06,0.000E+00,1.406E-05,3.477E-05,3.311E-02,9.947E-02,3.327E+00,1.097E+00,-4.620E-01,1.245E+01,5.777E+00,3.142E+00,3.292E-02,1.782E+00,2.134E+00,1.988E-01,1.845E+00,1.162E+00,-5.398E-01,1.403E+01,4.931E+00,3.142E+00,2.404E-02,1.935E+00,2.235E+00,8.865E-02,3.858E+00,9.899E-01,-7.440E-01,2.440E+01,8.323E+00,3.142E+00,2.230E-02,1.997E+00,2.279E+00,3.713E-02,6.755E+00
82,0.000E+00,3.348E-02,2.344E-06,0.000E+00,2.187E-05,3.984E-05,3.347E-02,1.007E-01,3.366E+00,1.048E+00,-4.547E-01,1.218E+01,6.871E+00,3.142E+00,5.534E-02,1.433E+00,1.997E+00,1.874E-01,1.935E+00,1.118E+00,-5.306E-01,1.384E+01,5.636E+00,3.142E+00,2.641E-02,1.846E+00,2.162E+00,8.667E-02,3.930E+00,9.475E-01,-7.252E-01,2.206E+01,1.005E+01,3.142E+00,2.829E-02,1.851E+00,2.192E+00,3.550E-02,6.967E+00
83,0.000E+00,3.114E-02,2.344E-06,0.000E+00,6.797E-05,8.203E-05,3.117E-02,9.373E-02,3.135E+00,9.536E-01,-4.233E-01,1.146E+01,9.860E+00,3.142E+00,7.218E-02,1.257E+00,1.924E+00,1.906E-01,1.908E+00,1.049E+00,-5.148E-01,1.317E+01,7.179E+00,3.142E+00,5.771E-02,1.502E+00,2.072E+00,8.293E-02,4.081E+00,8.429E-01,-6.977E-01,2.003E+01,1.601E+01,3.142E+00,5.865E-02,1.529E+00,2.120E+00,3.388E-02,7.210E+00
84,0.000E+00,2.879E-02,2.344E-06,0.000E+00,1.141E-04,1.242E-04,2.887E-02,8.677E-02,2.904E+00,8.950E-01,-3.919E-01,1.074E+01,1.285E+01,3.142E+00,8.901E-02,1.080E+00,1.851E+00,1.938E-01,1.880E+00,1.000E+00,-4.991E-01,1.251E+01,8.722E+00,3.142E+00,8.901E-02,1.159E+00,1.982E+00,7.920E-02,4.233E+00,7.908E-01,-6.702E-01,1.800E+01,2.197E+01,3.142E+00,8.901E-02,1.207E+00,2.048E+00,3.226E-02,7.454E+00
85,0.000E+00,2.073E-02,1.953E-06,0.000E+00,2.055E-04,1.805E-04,2.099E-02,6.284E-02,2.107E+00,8.257E-01,-3.681E-01,9.434E+00,2.076E+01,3.142E+00,8.901E-02,1.144E+00,1.949E+00,1.739E-01,2.082E+00,8.987E-01,-4.692E-01,1.064E+01,1.507E+01,3.142E+00,0.000E+00,0.000E+00,0.000E+00,7.590E-02,4.389E+00,7.168E-01,-6.338E-01,1.429E+01,4.428E+01,3.142E+00,8.901E-02,1.118E+00,1.881E+00,2.739E-02,8.490E+00
86,0.000E+00,1.267E-02,1.562E-06,0.000E+00,2.969E-04,2.367E-04,1.311E-02,3.890E-02,1.310E+00,8.023E-01,-3.443E-01,8.125E+00,2.867E+01,3.142E+00,8.901E-02,1.207E+00,2.048E+00,1.540E-01,2.285E+00,8.672E-01,-4.393E-01,8.762E+00,2.143E+01,3.142E+00,0.000E+00,0.000E+00,0.000E+00,7.261E-02,4.545E+00,7.236E-01,-5.975E-01,1.058E+01,6.658E+01,3.142E+00,8.901E-02,1.029E+00,1.715E+00,2.252E-02,9.525E+00
87,0.000E+00,6.376E-03,7.812E-07,0.000E+00,2.375E-04,1.887E-04,6.624E-03,1.970E-02,6.650E-01,8.895E-01,-4.800E-01,8.854E+00,2.037E+01,3.142E+00,-2.867E-01,9.988E+00,1.322E+00,1.098E-01,3.427E+00,9.700E-01,-5.004E-01,7.790E+00,1.624E+01,3.142E+00,0.000E+00,0.000E+00,0.000E+00,6.534E-02,4.993E+00,7.622E-01,-7.157E-01,1.254E+01,4.464E+01,3.142E+00,8.901E-02,9.228E-01,1.561E+00,1.679E-02,1.219E+01
88,0.000E+00,7.891E-05,0.000E+00,0.000E+00,1.781E-04,1.406E-04,1.398E-04,5.000E-04,2.042E-02,1.028E+00,-6.158E-01,9.583E+00,1.207E+01,3.142E+00,-6.624E-01,1.877E+01,5.959E-01,6.548E-02,4.570E+00,1.107E+00,-5.616E-01,6.817E+00,1.106E+01,3.142E+00,8.900E-02,6.241E-01,1.082E+00,5.807E-02,5.442E+00,8.655E-01,-8.338E-01,1.450E+01,2.269E+01,3.142E+00,8.901E-02,8.170E-01,1.407E+00,1.106E-02,1.486E+01
89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.562E-06,7.812E-07,7.812E-07,7.812E-07,8.492E-05,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
