alpha,He,Fe,Si,O,Fe_1,O_1,Si_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
12,0.000E+00,2.013E-02,1.268E-04,0.000E+00,7.422E-06,1.576E-04,2.019E-02,5.999E-02,2.657E+00,1.862E+00,-2.004E-01,2.269E+00,1.319E+00,3.142E+00,2.674E-03,2.239E+00,2.275E+00,1.001E-01,4.176E+00,1.672E+00,-6.282E-02,1.873E+00,1.884E+00,3.142E+00,-6.403E-04,2.696E+00,2.685E+00,1.302E-01,3.473E+00,1.800E+00,-1.762E-01,2.277E+00,1.475E+00,3.142E+00,-1.135E-03,2.429E+00,2.412E+00,8.151E-02,5.277E+00
13,0.000E+00,2.047E-02,1.062E-04,0.000E+00,8.789E-06,1.731E-04,2.057E-02,6.111E-02,2.705E+00,1.862E+00,-2.103E-01,2.298E+00,1.338E+00,3.142E+00,2.679E-03,2.248E+00,2.285E+00,9.949E-02,4.201E+00,1.671E+00,-7.380E-02,1.939E+00,1.890E+00,3.142E+00,-4.637E-04,2.691E+00,2.683E+00,1.299E-01,3.481E+00,1.800E+00,-1.833E-01,2.310E+00,1.485E+00,3.142E+00,-7.636E-04,2.420E+00,2.409E+00,8.082E-02,5.319E+00
14,0.000E+00,2.064E-02,9.585E-05,0.000E+00,9.473E-06,1.809E-04,2.076E-02,6.167E-02,2.729E+00,1.862E+00,-2.152E-01,2.312E+00,1.347E+00,3.142E+00,2.682E-03,2.252E+00,2.289E+00,9.917E-02,4.214E+00,1.671E+00,-7.929E-02,1.971E+00,1.893E+00,3.142E+00,-3.753E-04,2.689E+00,2.682E+00,1.298E-01,3.485E+00,1.800E+00,-1.869E-01,2.327E+00,1.490E+00,3.142E+00,-5.781E-04,2.416E+00,2.407E+00,8.048E-02,5.340E+00
15,0.000E+00,2.081E-02,8.555E-05,0.000E+00,1.016E-05,1.887E-04,2.095E-02,6.223E-02,2.752E+00,1.862E+00,-2.202E-01,2.326E+00,1.357E+00,3.142E+00,2.685E-03,2.257E+00,2.294E+00,9.885E-02,4.226E+00,1.671E+00,-8.478E-02,2.004E+00,1.896E+00,3.142E+00,-2.870E-04,2.686E+00,2.681E+00,1.296E-01,3.489E+00,1.800E+00,-1.905E-01,2.344E+00,1.496E+00,3.142E+00,-3.927E-04,2.411E+00,2.405E+00,8.014E-02,5.361E+00
16,0.000E+00,2.116E-02,6.494E-05,0.000E+00,1.152E-05,2.042E-04,2.133E-02,6.336E-02,2.800E+00,1.862E+00,-2.300E-01,2.355E+00,1.376E+00,3.142E+00,2.690E-03,2.266E+00,2.303E+00,9.820E-02,4.251E+00,1.670E+00,-9.575E-02,2.070E+00,1.901E+00,3.142E+00,-1.103E-04,2.681E+00,2.679E+00,1.293E-01,3.497E+00,1.799E+00,-1.976E-01,2.377E+00,1.506E+00,3.142E+00,-2.173E-05,2.402E+00,2.402E+00,7.946E-02,5.404E+00
17,0.000E+00,2.150E-02,4.434E-05,0.000E+00,1.289E-05,2.197E-04,2.170E-02,6.448E-02,2.847E+00,1.861E+00,-2.399E-01,2.384E+00,1.395E+00,3.142E+00,2.695E-03,2.275E+00,2.313E+00,9.756E-02,4.276E+00,1.670E+00,-1.067E-01,2.135E+00,1.907E+00,3.142E+00,6.632E-05,2.676E+00,2.677E+00,1.290E-01,3.505E+00,1.799E+00,-2.048E-01,2.411E+00,1.516E+00,3.142E+00,3.492E-04,2.393E+00,2.398E+00,7.878E-02,5.446E+00
18,0.000E+00,2.184E-02,2.373E-05,0.000E+00,1.426E-05,2.353E-04,2.208E-02,6.560E-02,2.895E+00,1.861E+00,-2.498E-01,2.413E+00,1.414E+00,3.142E+00,2.700E-03,2.284E+00,2.322E+00,9.692E-02,4.302E+00,1.670E+00,-1.177E-01,2.201E+00,1.913E+00,3.142E+00,2.430E-04,2.670E+00,2.675E+00,1.287E-01,3.513E+00,1.799E+00,-2.119E-01,2.444E+00,1.526E+00,3.142E+00,7.201E-04,2.384E+00,2.394E+00,7.810E-02,5.488E+00
19,0.000E+00,2.201E-02,1.343E-05,0.000E+00,1.494E-05,2.430E-04,2.227E-02,6.616E-02,2.919E+00,1.861E+00,-2.547E-01,2.428E+00,1.424E+00,3.142E+00,2.703E-03,2.289E+00,2.327E+00,9.660E-02,4.314E+00,1.669E+00,-1.232E-01,2.233E+00,1.916E+00,3.142E+00,3.313E-04,2.668E+00,2.673E+00,1.285E-01,3.517E+00,1.798E+00,-2.155E-01,2.461E+00,1.531E+00,3.142E+00,9.056E-04,2.379E+00,2.393E+00,7.775E-02,5.509E+00
20,0.000E+00,2.218E-02,3.125E-06,0.000E+00,1.563E-05,2.508E-04,2.246E-02,6.673E-02,2.942E+00,1.861E+00,-2.597E-01,2.442E+00,1.434E+00,3.142E+00,2.706E-03,2.293E+00,2.331E+00,9.628E-02,4.327E+00,1.669E+00,-1.287E-01,2.266E+00,1.919E+00,3.142E+00,4.196E-04,2.665E+00,2.672E+00,1.284E-01,3.521E+00,1.798E+00,-2.191E-01,2.477E+00,1.537E+00,3.142E+00,1.091E-03,2.375E+00,2.391E+00,7.741E-02,5.531E+00
21,0.000E+00,2.290E-02,2.734E-06,0.000E+00,1.973E-05,2.658E-04,2.308E-02,6.866E-02,3.031E+00,1.857E+00,-2.720E-01,2.544E+00,1.440E+00,3.142E+00,1.741E-03,2.308E+00,2.333E+00,9.603E-02,4.337E+00,1.670E+00,-1.305E-01,2.273E+00,1.923E+00,3.142E+00,7.159E-04,2.660E+00,2.672E+00,1.281E-01,3.529E+00,1.794E+00,-2.223E-01,2.472E+00,1.568E+00,3.142E+00,1.100E-03,2.383E+00,2.399E+00,7.682E-02,5.572E+00
22,0.000E+00,2.362E-02,2.344E-06,0.000E+00,2.383E-05,2.809E-04,2.370E-02,7.058E-02,3.120E+00,1.854E+00,-2.844E-01,2.646E+00,1.447E+00,3.142E+00,7.769E-04,2.323E+00,2.334E+00,9.578E-02,4.347E+00,1.670E+00,-1.323E-01,2.279E+00,1.927E+00,3.142E+00,1.012E-03,2.654E+00,2.671E+00,1.277E-01,3.538E+00,1.791E+00,-2.255E-01,2.466E+00,1.600E+00,3.142E+00,1.110E-03,2.391E+00,2.407E+00,7.623E-02,5.614E+00
23,0.000E+00,2.433E-02,1.953E-06,0.000E+00,2.793E-05,2.959E-04,2.432E-02,7.251E-02,3.209E+00,1.851E+00,-2.967E-01,2.748E+00,1.453E+00,3.142E+00,-1.874E-04,2.338E+00,2.335E+00,9.553E-02,4.358E+00,1.670E+00,-1.340E-01,2.286E+00,1.930E+00,3.142E+00,1.308E-03,2.648E+00,2.670E+00,1.274E-01,3.546E+00,1.787E+00,-2.287E-01,2.460E+00,1.632E+00,3.142E+00,1.119E-03,2.399E+00,2.416E+00,7.563E-02,5.656E+00
24,0.000E+00,2.469E-02,1.758E-06,0.000E+00,2.998E-05,3.034E-04,2.463E-02,7.348E-02,3.253E+00,1.850E+00,-3.029E-01,2.799E+00,1.456E+00,3.142E+00,-6.696E-04,2.346E+00,2.336E+00,9.541E-02,4.363E+00,1.670E+00,-1.349E-01,2.289E+00,1.932E+00,3.142E+00,1.457E-03,2.645E+00,2.669E+00,1.273E-01,3.550E+00,1.785E+00,-2.303E-01,2.457E+00,1.648E+00,3.142E+00,1.124E-03,2.403E+00,2.420E+00,7.534E-02,5.676E+00
25,0.000E+00,2.505E-02,1.562E-06,0.000E+00,3.203E-05,3.109E-04,2.494E-02,7.444E-02,3.297E+00,1.849E+00,-3.091E-01,2.850E+00,1.460E+00,3.142E+00,-1.152E-03,2.354E+00,2.336E+00,9.529E-02,4.368E+00,1.670E+00,-1.358E-01,2.293E+00,1.934E+00,3.142E+00,1.605E-03,2.642E+00,2.669E+00,1.271E-01,3.555E+00,1.783E+00,-2.319E-01,2.454E+00,1.664E+00,3.142E+00,1.128E-03,2.407E+00,2.424E+00,7.504E-02,5.697E+00
26,0.000E+00,2.577E-02,1.172E-06,0.000E+00,3.613E-05,3.260E-04,2.557E-02,7.637E-02,3.386E+00,1.847E+00,-3.214E-01,2.952E+00,1.466E+00,3.142E+00,-2.116E-03,2.369E+00,2.338E+00,9.504E-02,4.379E+00,1.670E+00,-1.376E-01,2.299E+00,1.938E+00,3.142E+00,1.901E-03,2.637E+00,2.668E+00,1.268E-01,3.563E+00,1.780E+00,-2.351E-01,2.448E+00,1.695E+00,3.142E+00,1.138E-03,2.415E+00,2.432E+00,7.445E-02,5.739E+00
27,0.000E+00,2.648E-02,7.812E-07,0.000E+00,4.023E-05,3.410E-04,2.619E-02,7.830E-02,3.475E+00,1.845E+00,-3.338E-01,3.054E+00,1.473E+00,3.142E+00,-3.080E-03,2.384E+00,2.339E+00,9.479E-02,4.389E+00,1.670E+00,-1.394E-01,2.306E+00,1.942E+00,3.142E+00,2.197E-03,2.631E+00,2.667E+00,1.265E-01,3.572E+00,1.777E+00,-2.383E-01,2.443E+00,1.727E+00,3.142E+00,1.147E-03,2.423E+00,2.440E+00,7.385E-02,5.780E+00
28,0.000E+00,2.720E-02,3.906E-07,0.000E+00,4.434E-05,3.561E-04,2.681E-02,8.023E-02,3.564E+00,1.843E+00,-3.461E-01,3.156E+00,1.479E+00,3.142E+00,-4.045E-03,2.399E+00,2.340E+00,9.454E-02,4.399E+00,1.670E+00,-1.412E-01,2.313E+00,1.946E+00,3.142E+00,2.493E-03,2.625E+00,2.666E+00,1.261E-01,3.580E+00,1.773E+00,-2.415E-01,2.437E+00,1.759E+00,3.142E+00,1.156E-03,2.431E+00,2.449E+00,7.326E-02,5.822E+00
29,0.000E+00,2.756E-02,1.953E-07,0.000E+00,4.639E-05,3.636E-04,2.712E-02,8.119E-02,3.608E+00,1.843E+00,-3.523E-01,3.207E+00,1.483E+00,3.142E+00,-4.527E-03,2.406E+00,2.341E+00,9.442E-02,4.404E+00,1.670E+00,-1.421E-01,2.316E+00,1.948E+00,3.142E+00,2.641E-03,2.622E+00,2.666E+00,1.260E-01,3.584E+00,1.772E+00,-2.431E-01,2.434E+00,1.775E+00,3.142E+00,1.161E-03,2.435E+00,2.453E+00,7.296E-02,5.843E+00
30,0.000E+00,2.792E-02,0.000E+00,0.000E+00,4.844E-05,3.711E-04,2.743E-02,8.216E-02,3.653E+00,1.842E+00,-3.585E-01,3.258E+00,1.486E+00,3.142E+00,-5.009E-03,2.414E+00,2.341E+00,9.429E-02,4.410E+00,1.670E+00,-1.429E-01,2.319E+00,1.950E+00,3.142E+00,2.790E-03,2.619E+00,2.666E+00,1.258E-01,3.589E+00,1.770E+00,-2.447E-01,2.431E+00,1.791E+00,3.142E+00,1.166E-03,2.439E+00,2.457E+00,7.267E-02,5.864E+00
31,0.000E+00,2.963E-02,0.000E+00,0.000E+00,7.197E-05,4.579E-04,2.925E-02,8.751E-02,3.888E+00,1.838E+00,-3.842E-01,3.647E+00,1.456E+00,3.142E+00,-3.890E-03,2.403E+00,2.347E+00,9.353E-02,4.445E+00,1.666E+00,-1.507E-01,2.388E+00,1.959E+00,3.142E+00,2.698E-03,2.619E+00,2.663E+00,1.257E-01,3.592E+00,1.763E+00,-2.525E-01,2.528E+00,1.800E+00,3.142E+00,8.658E-04,2.455E+00,2.468E+00,7.269E-02,5.862E+00
32,0.000E+00,3.049E-02,0.000E+00,0.000E+00,8.374E-05,5.013E-04,3.016E-02,9.019E-02,4.005E+00,1.838E+00,-3.970E-01,3.841E+00,1.442E+00,3.142E+00,-3.331E-03,2.397E+00,2.349E+00,9.314E-02,4.462E+00,1.665E+00,-1.546E-01,2.422E+00,1.963E+00,3.142E+00,2.652E-03,2.618E+00,2.662E+00,1.257E-01,3.593E+00,1.760E+00,-2.564E-01,2.576E+00,1.805E+00,3.142E+00,7.158E-04,2.463E+00,2.473E+00,7.270E-02,5.861E+00
33,0.000E+00,3.134E-02,0.000E+00,0.000E+00,9.551E-05,5.447E-04,3.107E-02,9.286E-02,4.123E+00,1.838E+00,-4.099E-01,4.036E+00,1.427E+00,3.142E+00,-2.772E-03,2.392E+00,2.352E+00,9.276E-02,4.480E+00,1.663E+00,-1.585E-01,2.456E+00,1.968E+00,3.142E+00,2.606E-03,2.618E+00,2.661E+00,1.256E-01,3.594E+00,1.756E+00,-2.603E-01,2.625E+00,1.810E+00,3.142E+00,5.658E-04,2.471E+00,2.479E+00,7.271E-02,5.860E+00
34,0.000E+00,3.220E-02,0.000E+00,0.000E+00,1.073E-04,5.881E-04,3.198E-02,9.554E-02,4.241E+00,1.839E+00,-4.227E-01,4.231E+00,1.412E+00,3.142E+00,-2.213E-03,2.386E+00,2.354E+00,9.237E-02,4.497E+00,1.661E+00,-1.624E-01,2.491E+00,1.973E+00,3.142E+00,2.560E-03,2.618E+00,2.660E+00,1.255E-01,3.596E+00,1.753E+00,-2.642E-01,2.673E+00,1.815E+00,3.142E+00,4.158E-04,2.479E+00,2.484E+00,7.273E-02,5.859E+00
35,0.000E+00,3.306E-02,0.000E+00,0.000E+00,1.190E-04,6.315E-04,3.289E-02,9.822E-02,4.358E+00,1.841E+00,-4.356E-01,4.425E+00,1.397E+00,3.142E+00,-1.653E-03,2.381E+00,2.357E+00,9.199E-02,4.515E+00,1.660E+00,-1.663E-01,2.525E+00,1.977E+00,3.142E+00,2.514E-03,2.617E+00,2.659E+00,1.255E-01,3.597E+00,1.750E+00,-2.681E-01,2.722E+00,1.820E+00,3.142E+00,2.658E-04,2.486E+00,2.490E+00,7.274E-02,5.858E+00
36,0.000E+00,3.391E-02,0.000E+00,0.000E+00,1.308E-04,6.750E-04,3.380E-02,1.009E-01,4.476E+00,1.844E+00,-4.485E-01,4.620E+00,1.383E+00,3.142E+00,-1.094E-03,2.376E+00,2.360E+00,9.160E-02,4.532E+00,1.658E+00,-1.702E-01,2.559E+00,1.982E+00,3.142E+00,2.468E-03,2.617E+00,2.658E+00,1.254E-01,3.599E+00,1.747E+00,-2.720E-01,2.770E+00,1.824E+00,3.142E+00,1.158E-04,2.494E+00,2.495E+00,7.275E-02,5.858E+00
37,0.000E+00,3.477E-02,0.000E+00,0.000E+00,1.426E-04,7.184E-04,3.472E-02,1.036E-01,4.593E+00,1.847E+00,-4.613E-01,4.814E+00,1.368E+00,3.142E+00,-5.347E-04,2.370E+00,2.362E+00,9.122E-02,4.549E+00,1.657E+00,-1.741E-01,2.593E+00,1.986E+00,3.142E+00,2.422E-03,2.617E+00,2.657E+00,1.254E-01,3.600E+00,1.744E+00,-2.759E-01,2.819E+00,1.829E+00,3.142E+00,-3.415E-05,2.502E+00,2.501E+00,7.276E-02,5.857E+00
38,0.000E+00,3.563E-02,0.000E+00,0.000E+00,1.543E-04,7.618E-04,3.563E-02,1.062E-01,4.711E+00,1.850E+00,-4.742E-01,5.009E+00,1.353E+00,3.142E+00,2.462E-05,2.365E+00,2.365E+00,9.083E-02,4.567E+00,1.655E+00,-1.780E-01,2.628E+00,1.991E+00,3.142E+00,2.376E-03,2.617E+00,2.656E+00,1.253E-01,3.602E+00,1.741E+00,-2.798E-01,2.867E+00,1.834E+00,3.142E+00,-1.841E-04,2.510E+00,2.507E+00,7.277E-02,5.856E+00
39,0.000E+00,3.648E-02,0.000E+00,0.000E+00,1.661E-04,8.052E-04,3.654E-02,1.089E-01,4.828E+00,1.854E+00,-4.870E-01,5.204E+00,1.338E+00,3.142E+00,5.839E-04,2.359E+00,2.368E+00,9.045E-02,4.584E+00,1.654E+00,-1.819E-01,2.662E+00,1.995E+00,3.142E+00,2.330E-03,2.616E+00,2.655E+00,1.253E-01,3.603E+00,1.738E+00,-2.837E-01,2.916E+00,1.839E+00,3.142E+00,-3.341E-04,2.518E+00,2.512E+00,7.279E-02,5.855E+00
40,0.000E+00,3.734E-02,0.000E+00,0.000E+00,1.779E-04,8.486E-04,3.745E-02,1.116E-01,4.946E+00,1.859E+00,-4.999E-01,5.398E+00,1.323E+00,3.142E+00,1.143E-03,2.354E+00,2.370E+00,9.006E-02,4.602E+00,1.653E+00,-1.858E-01,2.696E+00,2.000E+00,3.142E+00,2.284E-03,2.616E+00,2.653E+00,1.252E-01,3.605E+00,1.735E+00,-2.876E-01,2.964E+00,1.844E+00,3.142E+00,-4.841E-04,2.525E+00,2.518E+00,7.280E-02,5.854E+00
41,0.000E+00,3.819E-02,0.000E+00,0.000E+00,1.896E-04,8.920E-04,3.836E-02,1.143E-01,5.064E+00,1.864E+00,-5.128E-01,5.593E+00,1.309E+00,3.142E+00,1.702E-03,2.348E+00,2.373E+00,8.968E-02,4.619E+00,1.651E+00,-1.897E-01,2.730E+00,2.005E+00,3.142E+00,2.238E-03,2.616E+00,2.652E+00,1.252E-01,3.606E+00,1.733E+00,-2.915E-01,3.013E+00,1.849E+00,3.142E+00,-6.341E-04,2.533E+00,2.523E+00,7.281E-02,5.853E+00
42,0.000E+00,3.905E-02,0.000E+00,0.000E+00,2.014E-04,9.354E-04,3.927E-02,1.170E-01,5.181E+00,1.870E+00,-5.256E-01,5.787E+00,1.294E+00,3.142E+00,2.262E-03,2.343E+00,2.375E+00,8.929E-02,4.637E+00,1.650E+00,-1.936E-01,2.765E+00,2.009E+00,3.142E+00,2.192E-03,2.615E+00,2.651E+00,1.251E-01,3.608E+00,1.730E+00,-2.954E-01,3.061E+00,1.853E+00,3.142E+00,-7.841E-04,2.541E+00,2.529E+00,7.282E-02,5.852E+00
43,0.000E+00,3.991E-02,0.000E+00,0.000E+00,2.132E-04,9.788E-04,4.018E-02,1.196E-01,5.299E+00,1.875E+00,-5.385E-01,5.982E+00,1.279E+00,3.142E+00,2.821E-03,2.337E+00,2.378E+00,8.891E-02,4.654E+00,1.649E+00,-1.975E-01,2.799E+00,2.014E+00,3.142E+00,2.146E-03,2.615E+00,2.650E+00,1.251E-01,3.609E+00,1.728E+00,-2.993E-01,3.110E+00,1.858E+00,3.142E+00,-9.341E-04,2.549E+00,2.534E+00,7.283E-02,5.851E+00
44,0.000E+00,4.076E-02,0.000E+00,0.000E+00,2.250E-04,1.022E-03,4.109E-02,1.223E-01,5.416E+00,1.882E+00,-5.513E-01,6.177E+00,1.264E+00,3.142E+00,3.380E-03,2.332E+00,2.381E+00,8.853E-02,4.672E+00,1.648E+00,-2.013E-01,2.833E+00,2.018E+00,3.142E+00,2.100E-03,2.615E+00,2.649E+00,1.250E-01,3.610E+00,1.725E+00,-3.032E-01,3.158E+00,1.863E+00,3.142E+00,-1.084E-03,2.557E+00,2.540E+00,7.285E-02,5.851E+00
45,0.000E+00,4.162E-02,0.000E+00,0.000E+00,2.367E-04,1.066E-03,4.200E-02,1.250E-01,5.534E+00,1.888E+00,-5.642E-01,6.371E+00,1.250E+00,3.142E+00,3.940E-03,2.327E+00,2.383E+00,8.814E-02,4.689E+00,1.647E+00,-2.052E-01,2.867E+00,2.023E+00,3.142E+00,2.054E-03,2.614E+00,2.648E+00,1.250E-01,3.612E+00,1.723E+00,-3.071E-01,3.207E+00,1.868E+00,3.142E+00,-1.234E-03,2.565E+00,2.545E+00,7.286E-02,5.850E+00
46,0.000E+00,4.358E-02,0.000E+00,0.000E+00,2.578E-04,1.180E-03,4.388E-02,1.306E-01,5.789E+00,1.878E+00,-5.817E-01,7.177E+00,1.234E+00,3.142E+00,4.723E-03,2.290E+00,2.356E+00,8.820E-02,4.687E+00,1.647E+00,-2.179E-01,3.045E+00,1.977E+00,3.142E+00,1.049E-03,2.650E+00,2.666E+00,1.246E-01,3.621E+00,1.711E+00,-2.869E-01,3.004E+00,1.951E+00,3.142E+00,7.900E-04,2.523E+00,2.535E+00,7.237E-02,5.887E+00
47,0.000E+00,4.555E-02,0.000E+00,0.000E+00,2.789E-04,1.295E-03,4.575E-02,1.362E-01,6.043E+00,1.872E+00,-5.991E-01,7.983E+00,1.218E+00,3.142E+00,5.506E-03,2.253E+00,2.329E+00,8.825E-02,4.684E+00,1.649E+00,-2.305E-01,3.222E+00,1.931E+00,3.142E+00,4.373E-05,2.685E+00,2.685E+00,1.243E-01,3.630E+00,1.701E+00,-2.667E-01,2.801E+00,2.034E+00,3.142E+00,2.814E-03,2.482E+00,2.524E+00,7.187E-02,5.924E+00
48,0.000E+00,4.751E-02,0.000E+00,0.000E+00,3.000E-04,1.410E-03,4.763E-02,1.417E-01,6.298E+00,1.869E+00,-6.166E-01,8.790E+00,1.202E+00,3.142E+00,6.290E-03,2.216E+00,2.301E+00,8.831E-02,4.681E+00,1.652E+00,-2.431E-01,3.400E+00,1.884E+00,3.142E+00,-9.612E-04,2.721E+00,2.704E+00,1.240E-01,3.640E+00,1.693E+00,-2.464E-01,2.598E+00,2.118E+00,3.142E+00,4.838E-03,2.441E+00,2.514E+00,7.138E-02,5.962E+00
49,0.000E+00,4.849E-02,0.000E+00,0.000E+00,3.105E-04,1.467E-03,4.856E-02,1.445E-01,6.426E+00,1.868E+00,-6.253E-01,9.193E+00,1.194E+00,3.142E+00,6.681E-03,2.198E+00,2.288E+00,8.834E-02,4.680E+00,1.654E+00,-2.494E-01,3.489E+00,1.861E+00,3.142E+00,-1.464E-03,2.738E+00,2.713E+00,1.238E-01,3.644E+00,1.691E+00,-2.363E-01,2.496E+00,2.159E+00,3.142E+00,5.850E-03,2.420E+00,2.509E+00,7.114E-02,5.981E+00
50,0.000E+00,4.948E-02,0.000E+00,0.000E+00,3.211E-04,1.524E-03,4.950E-02,1.473E-01,6.553E+00,1.868E+00,-6.341E-01,9.596E+00,1.186E+00,3.142E+00,7.073E-03,2.179E+00,2.274E+00,8.837E-02,4.678E+00,1.657E+00,-2.557E-01,3.578E+00,1.838E+00,3.142E+00,-1.966E-03,2.756E+00,2.722E+00,1.236E-01,3.649E+00,1.688E+00,-2.262E-01,2.395E+00,2.201E+00,3.142E+00,6.862E-03,2.399E+00,2.503E+00,7.089E-02,5.999E+00
51,0.000E+00,5.222E-02,0.000E+00,0.000E+00,4.156E-04,1.757E-03,5.236E-02,1.557E-01,6.930E+00,1.833E+00,-6.475E-01,1.139E+01,1.207E+00,3.142E+00,6.982E-03,2.192E+00,2.286E+00,8.805E-02,4.694E+00,1.648E+00,-2.621E-01,3.746E+00,1.843E+00,3.142E+00,-1.784E-03,2.753E+00,2.722E+00,1.234E-01,3.654E+00,1.574E+00,-2.796E-01,4.360E+00,2.091E+00,3.142E+00,5.535E-03,2.420E+00,2.504E+00,7.132E-02,5.967E+00
52,0.000E+00,5.496E-02,0.000E+00,0.000E+00,5.102E-04,1.991E-03,5.522E-02,1.641E-01,7.306E+00,1.805E+00,-6.610E-01,1.319E+01,1.228E+00,3.142E+00,6.891E-03,2.205E+00,2.298E+00,8.773E-02,4.710E+00,1.639E+00,-2.684E-01,3.915E+00,1.848E+00,3.142E+00,-1.603E-03,2.750E+00,2.722E+00,1.232E-01,3.660E+00,1.534E+00,-3.329E-01,6.326E+00,1.981E+00,3.142E+00,4.208E-03,2.441E+00,2.504E+00,7.176E-02,5.935E+00
53,0.000E+00,5.770E-02,0.000E+00,0.000E+00,6.047E-04,2.224E-03,5.808E-02,1.725E-01,7.683E+00,1.781E+00,-6.745E-01,1.498E+01,1.249E+00,3.142E+00,6.800E-03,2.217E+00,2.310E+00,8.741E-02,4.726E+00,1.632E+00,-2.748E-01,4.084E+00,1.853E+00,3.142E+00,-1.421E-03,2.747E+00,2.722E+00,1.230E-01,3.665E+00,1.529E+00,-3.863E-01,8.291E+00,1.871E+00,3.142E+00,2.881E-03,2.462E+00,2.505E+00,7.219E-02,5.902E+00
54,0.000E+00,5.907E-02,0.000E+00,0.000E+00,6.520E-04,2.340E-03,5.951E-02,1.767E-01,7.871E+00,1.771E+00,-6.813E-01,1.588E+01,1.259E+00,3.142E+00,6.754E-03,2.224E+00,2.316E+00,8.725E-02,4.734E+00,1.628E+00,-2.779E-01,4.168E+00,1.855E+00,3.142E+00,-1.330E-03,2.745E+00,2.722E+00,1.230E-01,3.668E+00,1.534E+00,-4.130E-01,9.274E+00,1.816E+00,3.142E+00,2.217E-03,2.472E+00,2.505E+00,7.240E-02,5.886E+00
55,0.000E+00,6.045E-02,0.000E+00,0.000E+00,6.992E-04,2.457E-03,6.095E-02,1.808E-01,8.059E+00,1.762E+00,-6.880E-01,1.678E+01,1.270E+00,3.142E+00,6.709E-03,2.230E+00,2.322E+00,8.709E-02,4.742E+00,1.624E+00,-2.811E-01,4.252E+00,1.857E+00,3.142E+00,-1.239E-03,2.744E+00,2.722E+00,1.229E-01,3.671E+00,1.543E+00,-4.397E-01,1.026E+01,1.761E+00,3.142E+00,1.553E-03,2.483E+00,2.505E+00,7.262E-02,5.870E+00
56,0.000E+00,6.319E-02,0.000E+00,0.000E+00,7.937E-04,2.690E-03,6.381E-02,1.892E-01,8.436E+00,1.744E+00,-7.015E-01,1.858E+01,1.290E+00,3.142E+00,6.618E-03,2.243E+00,2.334E+00,8.677E-02,4.757E+00,1.618E+00,-2.875E-01,4.421E+00,1.862E+00,3.142E+00,-1.058E-03,2.741E+00,2.722E+00,1.227E-01,3.676E+00,1.570E+00,-4.930E-01,1.222E+01,1.651E+00,3.142E+00,2.262E-04,2.503E+00,2.506E+00,7.305E-02,5.838E+00
57,0.000E+00,6.593E-02,0.000E+00,0.000E+00,8.883E-04,2.923E-03,6.667E-02,1.976E-01,8.812E+00,1.730E+00,-7.150E-01,2.037E+01,1.311E+00,3.142E+00,6.527E-03,2.255E+00,2.346E+00,8.645E-02,4.773E+00,1.611E+00,-2.938E-01,4.589E+00,1.867E+00,3.142E+00,-8.759E-04,2.738E+00,2.722E+00,1.225E-01,3.682E+00,1.606E+00,-5.464E-01,1.419E+01,1.542E+00,3.142E+00,-1.101E-03,2.524E+00,2.506E+00,7.348E-02,5.806E+00
58,0.000E+00,6.867E-02,0.000E+00,0.000E+00,9.828E-04,3.157E-03,6.953E-02,2.060E-01,9.189E+00,1.717E+00,-7.285E-01,2.217E+01,1.332E+00,3.142E+00,6.436E-03,2.268E+00,2.358E+00,8.613E-02,4.789E+00,1.606E+00,-3.002E-01,4.758E+00,1.872E+00,3.142E+00,-6.942E-04,2.735E+00,2.723E+00,1.223E-01,3.687E+00,1.651E+00,-5.997E-01,1.615E+01,1.432E+00,3.142E+00,-2.428E-03,2.545E+00,2.507E+00,7.391E-02,5.774E+00
59,0.000E+00,7.004E-02,0.000E+00,0.000E+00,1.030E-03,3.273E-03,7.096E-02,2.102E-01,9.377E+00,1.711E+00,-7.352E-01,2.307E+01,1.343E+00,3.142E+00,6.390E-03,2.274E+00,2.364E+00,8.597E-02,4.797E+00,1.603E+00,-3.033E-01,4.842E+00,1.874E+00,3.142E+00,-6.034E-04,2.733E+00,2.723E+00,1.222E-01,3.690E+00,1.676E+00,-6.264E-01,1.714E+01,1.377E+00,3.142E+00,-3.092E-03,2.556E+00,2.507E+00,7.413E-02,5.757E+00
60,0.000E+00,7.142E-02,0.000E+00,0.000E+00,1.077E-03,3.390E-03,7.239E-02,2.143E-01,9.565E+00,1.706E+00,-7.419E-01,2.396E+01,1.353E+00,3.142E+00,6.345E-03,2.281E+00,2.370E+00,8.581E-02,4.805E+00,1.600E+00,-3.065E-01,4.927E+00,1.877E+00,3.142E+00,-5.125E-04,2.731E+00,2.723E+00,1.221E-01,3.693E+00,1.703E+00,-6.531E-01,1.812E+01,1.322E+00,3.142E+00,-3.755E-03,2.566E+00,2.507E+00,7.435E-02,5.741E+00
