alpha,He,Fe,S,Fe_1,S_1,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
42,0.000E+00,2.425E-01,1.318E-02,6.348E-07,1.270E-06,2.132E+01,1.766E+00,-2.732E-01,3.015E+00,1.623E+00,1.517E+00,-1.724E-03,2.422E+00,2.397E+00,1.173E-01,3.609E+00,1.469E+00,-8.519E-02,2.693E+00,2.705E+00,1.398E+00,-2.668E-03,3.349E+00,3.289E+00,1.867E-01,2.407E+00
43,0.000E+00,2.472E-01,1.357E-02,6.836E-07,1.367E-06,2.173E+01,1.765E+00,-2.754E-01,3.024E+00,1.630E+00,1.514E+00,-1.805E-03,2.426E+00,2.399E+00,1.171E-01,3.617E+00,1.473E+00,-8.941E-02,2.721E+00,2.670E+00,1.398E+00,-2.399E-03,3.337E+00,3.283E+00,1.866E-01,2.409E+00
44,0.000E+00,2.519E-01,1.396E-02,7.324E-07,1.465E-06,2.214E+01,1.764E+00,-2.775E-01,3.033E+00,1.637E+00,1.512E+00,-1.886E-03,2.429E+00,2.401E+00,1.168E-01,3.625E+00,1.478E+00,-9.363E-02,2.749E+00,2.634E+00,1.398E+00,-2.131E-03,3.324E+00,3.277E+00,1.864E-01,2.411E+00
45,0.000E+00,2.565E-01,1.435E-02,7.812E-07,1.562E-06,2.255E+01,1.763E+00,-2.796E-01,3.042E+00,1.644E+00,1.510E+00,-1.967E-03,2.433E+00,2.404E+00,1.165E-01,3.633E+00,1.483E+00,-9.785E-02,2.778E+00,2.598E+00,1.398E+00,-1.863E-03,3.311E+00,3.271E+00,1.863E-01,2.413E+00
46,0.000E+00,2.671E-01,1.543E-02,3.906E-07,1.172E-06,2.348E+01,1.751E+00,-2.786E-01,3.065E+00,1.688E+00,1.499E+00,-5.204E-04,2.409E+00,2.401E+00,1.163E-01,3.640E+00,1.479E+00,-9.997E-02,2.872E+00,2.562E+00,1.394E+00,-3.296E-03,3.477E+00,3.398E+00,1.771E-01,2.537E+00
47,0.000E+00,2.724E-01,1.597E-02,1.953E-07,9.766E-07,2.395E+01,1.745E+00,-2.781E-01,3.076E+00,1.709E+00,1.494E+00,2.029E-04,2.397E+00,2.399E+00,1.161E-01,3.643E+00,1.477E+00,-1.010E-01,2.919E+00,2.544E+00,1.392E+00,-4.013E-03,3.559E+00,3.462E+00,1.725E-01,2.600E+00
48,0.000E+00,2.777E-01,1.651E-02,0.000E+00,7.812E-07,2.442E+01,1.739E+00,-2.776E-01,3.087E+00,1.731E+00,1.488E+00,9.262E-04,2.384E+00,2.398E+00,1.160E-01,3.646E+00,1.475E+00,-1.021E-01,2.967E+00,2.526E+00,1.390E+00,-4.729E-03,3.642E+00,3.526E+00,1.679E-01,2.662E+00
49,0.000E+00,2.897E-01,1.776E-02,0.000E+00,7.812E-07,2.547E+01,1.742E+00,-2.752E-01,3.018E+00,1.737E+00,1.494E+00,-2.117E-04,2.409E+00,2.406E+00,1.144E-01,3.696E+00,1.472E+00,-9.414E-02,2.777E+00,2.662E+00,1.394E+00,-4.361E-03,3.493E+00,3.391E+00,1.699E-01,2.632E+00
50,0.000E+00,2.957E-01,1.838E-02,0.000E+00,7.812E-07,2.599E+01,1.744E+00,-2.741E-01,2.984E+00,1.740E+00,1.497E+00,-7.807E-04,2.422E+00,2.410E+00,1.135E-01,3.720E+00,1.471E+00,-9.017E-02,2.682E+00,2.730E+00,1.397E+00,-4.177E-03,3.418E+00,3.323E+00,1.709E-01,2.617E+00
51,0.000E+00,3.017E-01,1.901E-02,0.000E+00,7.812E-07,2.652E+01,1.746E+00,-2.729E-01,2.950E+00,1.744E+00,1.500E+00,-1.350E-03,2.434E+00,2.414E+00,1.127E-01,3.745E+00,1.471E+00,-8.620E-02,2.587E+00,2.798E+00,1.399E+00,-3.993E-03,3.344E+00,3.256E+00,1.719E-01,2.603E+00
52,0.000E+00,3.156E-01,2.047E-02,0.000E+00,3.906E-07,2.774E+01,1.733E+00,-2.945E-01,3.296E+00,1.734E+00,1.472E+00,-8.539E-04,2.419E+00,2.406E+00,1.130E-01,3.735E+00,1.472E+00,-1.021E-01,2.795E+00,2.707E+00,1.386E+00,-3.050E-03,3.374E+00,3.306E+00,1.710E-01,2.617E+00
53,0.000E+00,3.225E-01,2.120E-02,0.000E+00,1.953E-07,2.835E+01,1.728E+00,-3.052E-01,3.468E+00,1.730E+00,1.459E+00,-6.061E-04,2.411E+00,2.402E+00,1.132E-01,3.731E+00,1.473E+00,-1.101E-01,2.899E+00,2.662E+00,1.380E+00,-2.579E-03,3.389E+00,3.331E+00,1.705E-01,2.624E+00
54,0.000E+00,3.294E-01,2.194E-02,0.000E+00,0.000E+00,2.896E+01,1.723E+00,-3.160E-01,3.641E+00,1.725E+00,1.445E+00,-3.582E-04,2.403E+00,2.398E+00,1.133E-01,3.726E+00,1.475E+00,-1.180E-01,3.003E+00,2.616E+00,1.374E+00,-2.108E-03,3.404E+00,3.356E+00,1.700E-01,2.631E+00
55,0.000E+00,3.453E-01,2.369E-02,0.000E+00,0.000E+00,3.036E+01,1.727E+00,-3.413E-01,4.000E+00,1.679E+00,1.430E+00,4.471E-05,2.396E+00,2.397E+00,1.119E-01,3.770E+00,1.466E+00,-1.353E-01,3.282E+00,2.589E+00,1.354E+00,-2.750E-03,3.351E+00,3.291E+00,1.718E-01,2.604E+00
56,0.000E+00,3.533E-01,2.457E-02,0.000E+00,0.000E+00,3.106E+01,1.730E+00,-3.539E-01,4.179E+00,1.656E+00,1.422E+00,2.462E-04,2.393E+00,2.396E+00,1.112E-01,3.792E+00,1.463E+00,-1.439E-01,3.422E+00,2.575E+00,1.344E+00,-3.070E-03,3.325E+00,3.258E+00,1.727E-01,2.591E+00
57,0.000E+00,3.612E-01,2.545E-02,0.000E+00,0.000E+00,3.176E+01,1.733E+00,-3.665E-01,4.358E+00,1.632E+00,1.415E+00,4.477E-04,2.389E+00,2.396E+00,1.105E-01,3.815E+00,1.460E+00,-1.525E-01,3.562E+00,2.561E+00,1.334E+00,-3.391E-03,3.298E+00,3.225E+00,1.737E-01,2.578E+00
58,0.000E+00,3.791E-01,2.779E-02,0.000E+00,7.812E-07,3.333E+01,1.735E+00,-3.956E-01,5.045E+00,1.555E+00,1.397E+00,3.844E-04,2.389E+00,2.394E+00,1.116E-01,3.778E+00,1.450E+00,-9.343E-02,2.819E+00,2.812E+00,1.387E+00,-3.862E-03,3.361E+00,3.276E+00,1.746E-01,2.565E+00
59,0.000E+00,3.880E-01,2.896E-02,0.000E+00,1.172E-06,3.411E+01,1.739E+00,-4.101E-01,5.388E+00,1.517E+00,1.389E+00,3.528E-04,2.389E+00,2.394E+00,1.122E-01,3.760E+00,1.454E+00,-6.391E-02,2.448E+00,2.938E+00,1.413E+00,-4.097E-03,3.393E+00,3.301E+00,1.751E-01,2.558E+00
60,0.000E+00,3.969E-01,3.013E-02,0.000E+00,1.562E-06,3.489E+01,1.744E+00,-4.247E-01,5.731E+00,1.478E+00,1.380E+00,3.212E-04,2.388E+00,2.393E+00,1.128E-01,3.742E+00,1.466E+00,-3.440E-02,2.077E+00,3.064E+00,1.439E+00,-4.333E-03,3.425E+00,3.327E+00,1.756E-01,2.551E+00
61,0.000E+00,4.186E-01,3.307E-02,0.000E+00,7.812E-07,3.680E+01,1.731E+00,-4.605E-01,6.946E+00,1.447E+00,1.348E+00,8.229E-04,2.374E+00,2.386E+00,1.119E-01,3.769E+00,1.443E+00,-8.611E-02,2.724E+00,2.918E+00,1.383E+00,-4.005E-03,3.421E+00,3.330E+00,1.700E-01,2.634E+00
62,0.000E+00,4.295E-01,3.455E-02,0.000E+00,3.906E-07,3.775E+01,1.728E+00,-4.784E-01,7.553E+00,1.432E+00,1.333E+00,1.074E-03,2.367E+00,2.383E+00,1.115E-01,3.783E+00,1.439E+00,-1.120E-01,3.048E+00,2.845E+00,1.355E+00,-3.842E-03,3.419E+00,3.332E+00,1.671E-01,2.675E+00
63,0.000E+00,4.403E-01,3.602E-02,0.000E+00,0.000E+00,3.871E+01,1.728E+00,-4.962E-01,8.160E+00,1.416E+00,1.317E+00,1.325E-03,2.360E+00,2.379E+00,1.110E-01,3.797E+00,1.439E+00,-1.378E-01,3.371E+00,2.772E+00,1.327E+00,-3.678E-03,3.417E+00,3.334E+00,1.643E-01,2.717E+00
