alpha,He,Fe,Ti,O,Fe_1,O_1,Ti_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Ti,phiTilt_Ti,phiM_Ti,phiN_Ti,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,energyK_Ti,energyE_Ti
0,0.000E+00,1.876E-02,6.336E-03,0.000E+00,0.000E+00,2.097E-05,1.270E-02,5.708E-02,2.873E+00,1.861E+00,5.317E-02,1.039E+00,1.500E+00,3.142E+00,-2.357E-03,2.333E+00,2.300E+00,1.023E-01,4.093E+00,1.711E+00,-5.659E-02,2.164E+00,1.424E+00,3.142E+00,9.963E-04,2.673E+00,2.690E+00,1.291E-01,3.501E+00,1.868E+00,6.352E-02,9.785E-01,1.551E+00,3.142E+00,7.476E-04,2.262E+00,2.272E+00,6.917E-02,5.915E+00
1,0.000E+00,1.889E-02,6.339E-03,0.000E+00,0.000E+00,2.102E-05,1.282E-02,5.743E-02,2.892E+00,1.823E+00,2.121E-02,1.214E+00,1.458E+00,3.142E+00,-2.166E-03,2.329E+00,2.299E+00,1.021E-01,4.101E+00,1.708E+00,-6.193E-02,2.178E+00,1.454E+00,3.142E+00,1.004E-03,2.672E+00,2.689E+00,1.288E-01,3.510E+00,1.807E+00,2.750E-02,1.218E+00,1.529E+00,3.142E+00,1.209E-03,2.258E+00,2.275E+00,6.897E-02,5.930E+00
2,0.000E+00,1.902E-02,6.342E-03,0.000E+00,0.000E+00,2.107E-05,1.295E-02,5.778E-02,2.912E+00,1.802E+00,-1.076E-02,1.390E+00,1.416E+00,3.142E+00,-1.974E-03,2.326E+00,2.298E+00,1.019E-01,4.109E+00,1.705E+00,-6.728E-02,2.192E+00,1.483E+00,3.142E+00,1.011E-03,2.672E+00,2.689E+00,1.285E-01,3.518E+00,1.765E+00,-8.522E-03,1.457E+00,1.508E+00,3.142E+00,1.670E-03,2.254E+00,2.277E+00,6.878E-02,5.945E+00
3,0.000E+00,1.916E-02,6.345E-03,0.000E+00,0.000E+00,2.112E-05,1.308E-02,5.814E-02,2.931E+00,1.809E+00,-4.272E-02,1.566E+00,1.374E+00,3.142E+00,-1.783E-03,2.322E+00,2.297E+00,1.017E-01,4.117E+00,1.702E+00,-7.262E-02,2.206E+00,1.513E+00,3.142E+00,1.019E-03,2.672E+00,2.689E+00,1.282E-01,3.526E+00,1.761E+00,-4.454E-02,1.697E+00,1.486E+00,3.142E+00,2.131E-03,2.250E+00,2.279E+00,6.859E-02,5.960E+00
4,0.000E+00,1.922E-02,6.346E-03,0.000E+00,0.000E+00,2.115E-05,1.314E-02,5.831E-02,2.941E+00,1.814E+00,-5.870E-02,1.654E+00,1.352E+00,3.142E+00,-1.687E-03,2.321E+00,2.297E+00,1.016E-01,4.121E+00,1.700E+00,-7.529E-02,2.213E+00,1.528E+00,3.142E+00,1.023E-03,2.671E+00,2.689E+00,1.280E-01,3.531E+00,1.760E+00,-6.255E-02,1.817E+00,1.476E+00,3.142E+00,2.362E-03,2.248E+00,2.280E+00,6.849E-02,5.968E+00
5,0.000E+00,1.929E-02,6.348E-03,0.000E+00,0.000E+00,2.118E-05,1.321E-02,5.849E-02,2.950E+00,1.820E+00,-7.469E-02,1.742E+00,1.331E+00,3.142E+00,-1.591E-03,2.319E+00,2.297E+00,1.014E-01,4.125E+00,1.699E+00,-7.796E-02,2.221E+00,1.542E+00,3.142E+00,1.027E-03,2.671E+00,2.688E+00,1.278E-01,3.535E+00,1.761E+00,-8.056E-02,1.936E+00,1.465E+00,3.142E+00,2.593E-03,2.246E+00,2.281E+00,6.840E-02,5.975E+00
6,0.000E+00,1.942E-02,6.351E-03,0.000E+00,0.000E+00,2.123E-05,1.334E-02,5.884E-02,2.970E+00,1.833E+00,-1.067E-01,1.917E+00,1.289E+00,3.142E+00,-1.400E-03,2.316E+00,2.296E+00,1.012E-01,4.133E+00,1.696E+00,-8.331E-02,2.235E+00,1.572E+00,3.142E+00,1.034E-03,2.671E+00,2.688E+00,1.275E-01,3.543E+00,1.766E+00,-1.166E-01,2.176E+00,1.443E+00,3.142E+00,3.054E-03,2.242E+00,2.283E+00,6.820E-02,5.991E+00
7,0.000E+00,1.956E-02,6.353E-03,0.000E+00,0.000E+00,2.128E-05,1.346E-02,5.920E-02,2.989E+00,1.849E+00,-1.386E-01,2.093E+00,1.247E+00,3.142E+00,-1.208E-03,2.312E+00,2.295E+00,1.010E-01,4.141E+00,1.693E+00,-8.865E-02,2.249E+00,1.602E+00,3.142E+00,1.042E-03,2.670E+00,2.688E+00,1.272E-01,3.552E+00,1.773E+00,-1.526E-01,2.415E+00,1.422E+00,3.142E+00,3.515E-03,2.238E+00,2.286E+00,6.801E-02,6.006E+00
8,0.000E+00,1.969E-02,6.356E-03,0.000E+00,0.000E+00,2.133E-05,1.359E-02,5.955E-02,3.008E+00,1.866E+00,-1.706E-01,2.269E+00,1.204E+00,3.142E+00,-1.017E-03,2.309E+00,2.295E+00,1.008E-01,4.149E+00,1.691E+00,-9.400E-02,2.263E+00,1.631E+00,3.142E+00,1.049E-03,2.670E+00,2.688E+00,1.269E-01,3.560E+00,1.783E+00,-1.886E-01,2.655E+00,1.400E+00,3.142E+00,3.976E-03,2.234E+00,2.288E+00,6.782E-02,6.021E+00
9,0.000E+00,1.976E-02,6.358E-03,0.000E+00,0.000E+00,2.136E-05,1.366E-02,5.973E-02,3.018E+00,1.876E+00,-1.866E-01,2.357E+00,1.183E+00,3.142E+00,-9.212E-04,2.307E+00,2.294E+00,1.007E-01,4.153E+00,1.689E+00,-9.667E-02,2.270E+00,1.646E+00,3.142E+00,1.053E-03,2.670E+00,2.687E+00,1.267E-01,3.564E+00,1.789E+00,-2.066E-01,2.775E+00,1.389E+00,3.142E+00,4.207E-03,2.232E+00,2.289E+00,6.772E-02,6.029E+00
10,0.000E+00,1.983E-02,6.359E-03,0.000E+00,0.000E+00,2.138E-05,1.372E-02,5.990E-02,3.028E+00,1.886E+00,-2.025E-01,2.444E+00,1.162E+00,3.142E+00,-8.254E-04,2.305E+00,2.294E+00,1.006E-01,4.157E+00,1.688E+00,-9.934E-02,2.277E+00,1.661E+00,3.142E+00,1.057E-03,2.670E+00,2.687E+00,1.266E-01,3.568E+00,1.795E+00,-2.246E-01,2.894E+00,1.379E+00,3.142E+00,4.437E-03,2.229E+00,2.290E+00,6.763E-02,6.036E+00
11,0.000E+00,2.019E-02,6.339E-03,0.000E+00,2.570E-08,2.341E-05,1.408E-02,6.093E-02,3.081E+00,1.878E+00,-2.113E-01,2.491E+00,1.199E+00,3.142E+00,-7.576E-04,2.301E+00,2.291E+00,1.007E-01,4.152E+00,1.682E+00,-9.889E-02,2.258E+00,1.705E+00,3.142E+00,4.700E-04,2.692E+00,2.700E+00,1.263E-01,3.575E+00,1.808E+00,-2.426E-01,3.025E+00,1.341E+00,3.142E+00,4.003E-03,2.245E+00,2.300E+00,6.703E-02,6.088E+00
12,0.000E+00,2.056E-02,6.319E-03,0.000E+00,5.140E-08,2.544E-05,1.445E-02,6.195E-02,3.134E+00,1.869E+00,-2.201E-01,2.538E+00,1.236E+00,3.142E+00,-6.897E-04,2.297E+00,2.287E+00,1.008E-01,4.148E+00,1.675E+00,-9.845E-02,2.239E+00,1.749E+00,3.142E+00,-1.168E-04,2.715E+00,2.712E+00,1.260E-01,3.582E+00,1.822E+00,-2.606E-01,3.156E+00,1.304E+00,3.142E+00,3.569E-03,2.261E+00,2.310E+00,6.643E-02,6.140E+00
13,0.000E+00,2.092E-02,6.299E-03,0.000E+00,7.710E-08,2.747E-05,1.481E-02,6.297E-02,3.188E+00,1.861E+00,-2.289E-01,2.585E+00,1.273E+00,3.142E+00,-6.219E-04,2.293E+00,2.284E+00,1.010E-01,4.143E+00,1.670E+00,-9.800E-02,2.219E+00,1.793E+00,3.142E+00,-7.035E-04,2.738E+00,2.725E+00,1.258E-01,3.589E+00,1.836E+00,-2.785E-01,3.286E+00,1.266E+00,3.142E+00,3.134E-03,2.276E+00,2.320E+00,6.583E-02,6.192E+00
14,0.000E+00,2.111E-02,6.289E-03,0.000E+00,8.995E-08,2.849E-05,1.500E-02,6.348E-02,3.214E+00,1.857E+00,-2.333E-01,2.609E+00,1.292E+00,3.142E+00,-5.880E-04,2.291E+00,2.283E+00,1.010E-01,4.141E+00,1.667E+00,-9.778E-02,2.209E+00,1.815E+00,3.142E+00,-9.969E-04,2.750E+00,2.731E+00,1.257E-01,3.593E+00,1.844E+00,-2.875E-01,3.352E+00,1.248E+00,3.142E+00,2.917E-03,2.284E+00,2.324E+00,6.553E-02,6.218E+00
15,0.000E+00,2.129E-02,6.279E-03,0.000E+00,1.028E-07,2.950E-05,1.518E-02,6.400E-02,3.241E+00,1.853E+00,-2.376E-01,2.633E+00,1.310E+00,3.142E+00,-5.540E-04,2.289E+00,2.281E+00,1.011E-01,4.139E+00,1.664E+00,-9.755E-02,2.200E+00,1.837E+00,3.142E+00,-1.290E-03,2.761E+00,2.737E+00,1.255E-01,3.596E+00,1.851E+00,-2.965E-01,3.417E+00,1.229E+00,3.142E+00,2.700E-03,2.292E+00,2.329E+00,6.523E-02,6.244E+00
16,0.000E+00,2.166E-02,6.259E-03,0.000E+00,1.285E-07,3.153E-05,1.554E-02,6.502E-02,3.294E+00,1.845E+00,-2.464E-01,2.680E+00,1.347E+00,3.142E+00,-4.862E-04,2.285E+00,2.278E+00,1.012E-01,4.134E+00,1.659E+00,-9.711E-02,2.180E+00,1.881E+00,3.142E+00,-1.877E-03,2.784E+00,2.750E+00,1.253E-01,3.603E+00,1.868E+00,-3.145E-01,3.548E+00,1.192E+00,3.142E+00,2.265E-03,2.308E+00,2.339E+00,6.463E-02,6.295E+00
17,0.000E+00,2.202E-02,6.239E-03,0.000E+00,1.542E-07,3.356E-05,1.591E-02,6.604E-02,3.348E+00,1.838E+00,-2.552E-01,2.727E+00,1.384E+00,3.142E+00,-4.184E-04,2.280E+00,2.275E+00,1.013E-01,4.129E+00,1.653E+00,-9.666E-02,2.161E+00,1.925E+00,3.142E+00,-2.464E-03,2.807E+00,2.762E+00,1.250E-01,3.611E+00,1.884E+00,-3.324E-01,3.679E+00,1.154E+00,3.142E+00,1.831E-03,2.323E+00,2.349E+00,6.403E-02,6.347E+00
18,0.000E+00,2.239E-02,6.219E-03,0.000E+00,1.799E-07,3.559E-05,1.627E-02,6.707E-02,3.401E+00,1.831E+00,-2.640E-01,2.774E+00,1.421E+00,3.142E+00,-3.505E-04,2.276E+00,2.271E+00,1.014E-01,4.125E+00,1.649E+00,-9.621E-02,2.141E+00,1.969E+00,3.142E+00,-3.051E-03,2.830E+00,2.775E+00,1.248E-01,3.618E+00,1.902E+00,-3.504E-01,3.809E+00,1.117E+00,3.142E+00,1.397E-03,2.339E+00,2.359E+00,6.343E-02,6.399E+00
19,0.000E+00,2.257E-02,6.209E-03,0.000E+00,1.927E-07,3.661E-05,1.645E-02,6.758E-02,3.428E+00,1.827E+00,-2.683E-01,2.797E+00,1.439E+00,3.142E+00,-3.166E-04,2.274E+00,2.270E+00,1.015E-01,4.123E+00,1.646E+00,-9.599E-02,2.132E+00,1.992E+00,3.142E+00,-3.344E-03,2.841E+00,2.781E+00,1.246E-01,3.621E+00,1.911E+00,-3.594E-01,3.875E+00,1.098E+00,3.142E+00,1.179E-03,2.347E+00,2.364E+00,6.313E-02,6.425E+00
20,0.000E+00,2.275E-02,6.199E-03,0.000E+00,2.056E-07,3.762E-05,1.663E-02,6.809E-02,3.454E+00,1.824E+00,-2.727E-01,2.821E+00,1.458E+00,3.142E+00,-2.827E-04,2.272E+00,2.268E+00,1.016E-01,4.120E+00,1.644E+00,-9.577E-02,2.122E+00,2.014E+00,3.142E+00,-3.638E-03,2.853E+00,2.787E+00,1.245E-01,3.625E+00,1.921E+00,-3.683E-01,3.940E+00,1.080E+00,3.142E+00,9.621E-04,2.355E+00,2.369E+00,6.283E-02,6.451E+00
21,0.000E+00,2.340E-02,6.142E-03,0.000E+00,2.056E-07,4.089E-05,1.734E-02,7.003E-02,3.552E+00,1.820E+00,-2.762E-01,2.835E+00,1.477E+00,3.142E+00,-8.348E-04,2.284E+00,2.272E+00,1.009E-01,4.147E+00,1.646E+00,-1.019E-01,2.161E+00,2.001E+00,3.142E+00,-3.114E-03,2.844E+00,2.788E+00,1.247E-01,3.619E+00,1.900E+00,-3.660E-01,3.900E+00,1.143E+00,3.142E+00,1.177E-03,2.349E+00,2.366E+00,6.297E-02,6.438E+00
22,0.000E+00,2.404E-02,6.085E-03,0.000E+00,2.056E-07,4.415E-05,1.804E-02,7.197E-02,3.650E+00,1.817E+00,-2.797E-01,2.850E+00,1.497E+00,3.142E+00,-1.387E-03,2.296E+00,2.276E+00,1.002E-01,4.174E+00,1.648E+00,-1.080E-01,2.200E+00,1.988E+00,3.142E+00,-2.590E-03,2.836E+00,2.789E+00,1.249E-01,3.614E+00,1.880E+00,-3.637E-01,3.859E+00,1.206E+00,3.142E+00,1.392E-03,2.344E+00,2.364E+00,6.311E-02,6.426E+00
23,0.000E+00,2.469E-02,6.028E-03,0.000E+00,2.056E-07,4.741E-05,1.874E-02,7.391E-02,3.748E+00,1.813E+00,-2.832E-01,2.865E+00,1.517E+00,3.142E+00,-1.939E-03,2.308E+00,2.280E+00,9.950E-02,4.201E+00,1.650E+00,-1.142E-01,2.238E+00,1.976E+00,3.142E+00,-2.066E-03,2.827E+00,2.790E+00,1.251E-01,3.608E+00,1.862E+00,-3.613E-01,3.819E+00,1.269E+00,3.142E+00,1.607E-03,2.339E+00,2.362E+00,6.325E-02,6.413E+00
24,0.000E+00,2.501E-02,6.000E-03,0.000E+00,2.056E-07,4.905E-05,1.909E-02,7.488E-02,3.797E+00,1.811E+00,-2.850E-01,2.872E+00,1.526E+00,3.142E+00,-2.215E-03,2.314E+00,2.282E+00,9.916E-02,4.214E+00,1.652E+00,-1.173E-01,2.258E+00,1.969E+00,3.142E+00,-1.804E-03,2.823E+00,2.791E+00,1.252E-01,3.606E+00,1.853E+00,-3.601E-01,3.799E+00,1.301E+00,3.142E+00,1.715E-03,2.336E+00,2.361E+00,6.332E-02,6.407E+00
25,0.000E+00,2.533E-02,5.971E-03,0.000E+00,2.056E-07,5.068E-05,1.944E-02,7.585E-02,3.846E+00,1.810E+00,-2.867E-01,2.880E+00,1.536E+00,3.142E+00,-2.491E-03,2.320E+00,2.284E+00,9.882E-02,4.228E+00,1.653E+00,-1.203E-01,2.277E+00,1.963E+00,3.142E+00,-1.542E-03,2.819E+00,2.791E+00,1.253E-01,3.603E+00,1.844E+00,-3.590E-01,3.778E+00,1.332E+00,3.142E+00,1.822E-03,2.334E+00,2.360E+00,6.339E-02,6.400E+00
26,0.000E+00,2.598E-02,5.914E-03,0.000E+00,2.056E-07,5.394E-05,2.014E-02,7.779E-02,3.944E+00,1.806E+00,-2.902E-01,2.894E+00,1.556E+00,3.142E+00,-3.043E-03,2.332E+00,2.289E+00,9.813E-02,4.255E+00,1.655E+00,-1.265E-01,2.316E+00,1.950E+00,3.142E+00,-1.018E-03,2.810E+00,2.792E+00,1.255E-01,3.598E+00,1.828E+00,-3.566E-01,3.738E+00,1.395E+00,3.142E+00,2.037E-03,2.328E+00,2.357E+00,6.353E-02,6.388E+00
27,0.000E+00,2.662E-02,5.857E-03,0.000E+00,2.056E-07,5.721E-05,2.084E-02,7.973E-02,4.042E+00,1.803E+00,-2.937E-01,2.909E+00,1.576E+00,3.142E+00,-3.595E-03,2.344E+00,2.293E+00,9.744E-02,4.282E+00,1.658E+00,-1.326E-01,2.355E+00,1.937E+00,3.142E+00,-4.937E-04,2.802E+00,2.793E+00,1.257E-01,3.592E+00,1.812E+00,-3.543E-01,3.698E+00,1.458E+00,3.142E+00,2.252E-03,2.323E+00,2.355E+00,6.367E-02,6.375E+00
28,0.000E+00,2.727E-02,5.800E-03,0.000E+00,2.056E-07,6.047E-05,2.154E-02,8.167E-02,4.140E+00,1.800E+00,-2.973E-01,2.924E+00,1.595E+00,3.142E+00,-4.147E-03,2.355E+00,2.297E+00,9.675E-02,4.309E+00,1.661E+00,-1.388E-01,2.394E+00,1.925E+00,3.142E+00,3.028E-05,2.793E+00,2.794E+00,1.259E-01,3.587E+00,1.797E+00,-3.519E-01,3.657E+00,1.522E+00,3.142E+00,2.467E-03,2.318E+00,2.353E+00,6.380E-02,6.362E+00
29,0.000E+00,2.759E-02,5.772E-03,0.000E+00,2.056E-07,6.210E-05,2.190E-02,8.264E-02,4.189E+00,1.798E+00,-2.990E-01,2.931E+00,1.605E+00,3.142E+00,-4.423E-03,2.361E+00,2.299E+00,9.641E-02,4.322E+00,1.662E+00,-1.418E-01,2.413E+00,1.918E+00,3.142E+00,2.923E-04,2.789E+00,2.794E+00,1.260E-01,3.584E+00,1.790E+00,-3.508E-01,3.637E+00,1.553E+00,3.142E+00,2.575E-03,2.315E+00,2.352E+00,6.387E-02,6.356E+00
30,0.000E+00,2.791E-02,5.743E-03,0.000E+00,2.056E-07,6.373E-05,2.225E-02,8.361E-02,4.238E+00,1.796E+00,-3.008E-01,2.938E+00,1.615E+00,3.142E+00,-4.700E-03,2.367E+00,2.301E+00,9.606E-02,4.335E+00,1.663E+00,-1.449E-01,2.432E+00,1.912E+00,3.142E+00,5.543E-04,2.785E+00,2.795E+00,1.261E-01,3.581E+00,1.783E+00,-3.496E-01,3.617E+00,1.585E+00,3.142E+00,2.682E-03,2.313E+00,2.351E+00,6.394E-02,6.349E+00
31,0.000E+00,2.971E-02,5.584E-03,0.000E+00,3.084E-07,7.468E-05,2.419E-02,8.898E-02,4.510E+00,1.785E+00,-3.179E-01,3.159E+00,1.631E+00,3.142E+00,-4.522E-03,2.386E+00,2.321E+00,9.563E-02,4.354E+00,1.661E+00,-1.557E-01,2.529E+00,1.912E+00,3.142E+00,4.336E-04,2.787E+00,2.795E+00,1.253E-01,3.603E+00,1.785E+00,-3.506E-01,3.559E+00,1.597E+00,3.142E+00,2.613E-03,2.322E+00,2.359E+00,6.349E-02,6.392E+00
32,0.000E+00,3.061E-02,5.504E-03,0.000E+00,3.598E-07,8.016E-05,2.516E-02,9.167E-02,4.646E+00,1.780E+00,-3.265E-01,3.270E+00,1.639E+00,3.142E+00,-4.433E-03,2.395E+00,2.332E+00,9.541E-02,4.363E+00,1.660E+00,-1.610E-01,2.578E+00,1.911E+00,3.142E+00,3.732E-04,2.788E+00,2.795E+00,1.249E-01,3.614E+00,1.786E+00,-3.510E-01,3.530E+00,1.603E+00,3.142E+00,2.579E-03,2.327E+00,2.364E+00,6.326E-02,6.414E+00
33,0.000E+00,3.150E-02,5.424E-03,0.000E+00,4.112E-07,8.563E-05,2.613E-02,9.436E-02,4.782E+00,1.776E+00,-3.350E-01,3.380E+00,1.647E+00,3.142E+00,-4.344E-03,2.405E+00,2.342E+00,9.520E-02,4.373E+00,1.659E+00,-1.664E-01,2.626E+00,1.911E+00,3.142E+00,3.129E-04,2.790E+00,2.795E+00,1.245E-01,3.625E+00,1.787E+00,-3.515E-01,3.502E+00,1.609E+00,3.142E+00,2.544E-03,2.332E+00,2.368E+00,6.304E-02,6.435E+00
34,0.000E+00,3.240E-02,5.345E-03,0.000E+00,4.626E-07,9.110E-05,2.710E-02,9.705E-02,4.918E+00,1.772E+00,-3.436E-01,3.491E+00,1.655E+00,3.142E+00,-4.255E-03,2.414E+00,2.352E+00,9.498E-02,4.382E+00,1.658E+00,-1.718E-01,2.675E+00,1.911E+00,3.142E+00,2.526E-04,2.791E+00,2.795E+00,1.241E-01,3.636E+00,1.788E+00,-3.520E-01,3.473E+00,1.615E+00,3.142E+00,2.509E-03,2.337E+00,2.373E+00,6.281E-02,6.457E+00
35,0.000E+00,3.330E-02,5.265E-03,0.000E+00,5.140E-07,9.658E-05,2.807E-02,9.973E-02,5.054E+00,1.767E+00,-3.522E-01,3.601E+00,1.663E+00,3.142E+00,-4.167E-03,2.423E+00,2.363E+00,9.476E-02,4.391E+00,1.658E+00,-1.772E-01,2.723E+00,1.911E+00,3.142E+00,1.922E-04,2.792E+00,2.795E+00,1.237E-01,3.647E+00,1.790E+00,-3.525E-01,3.444E+00,1.621E+00,3.142E+00,2.475E-03,2.341E+00,2.377E+00,6.258E-02,6.478E+00
36,0.000E+00,3.420E-02,5.185E-03,0.000E+00,5.654E-07,1.021E-04,2.905E-02,1.024E-01,5.190E+00,1.764E+00,-3.608E-01,3.712E+00,1.671E+00,3.142E+00,-4.078E-03,2.432E+00,2.373E+00,9.454E-02,4.400E+00,1.657E+00,-1.826E-01,2.771E+00,1.911E+00,3.142E+00,1.319E-04,2.793E+00,2.795E+00,1.234E-01,3.658E+00,1.791E+00,-3.530E-01,3.415E+00,1.626E+00,3.142E+00,2.440E-03,2.346E+00,2.381E+00,6.236E-02,6.500E+00
37,0.000E+00,3.510E-02,5.106E-03,0.000E+00,6.168E-07,1.075E-04,3.002E-02,1.051E-01,5.326E+00,1.760E+00,-3.693E-01,3.822E+00,1.679E+00,3.142E+00,-3.989E-03,2.442E+00,2.383E+00,9.433E-02,4.410E+00,1.657E+00,-1.880E-01,2.820E+00,1.910E+00,3.142E+00,7.157E-05,2.794E+00,2.796E+00,1.230E-01,3.669E+00,1.792E+00,-3.535E-01,3.387E+00,1.632E+00,3.142E+00,2.406E-03,2.351E+00,2.386E+00,6.213E-02,6.521E+00
38,0.000E+00,3.600E-02,5.026E-03,0.000E+00,6.682E-07,1.130E-04,3.099E-02,1.078E-01,5.462E+00,1.757E+00,-3.779E-01,3.932E+00,1.687E+00,3.142E+00,-3.900E-03,2.451E+00,2.394E+00,9.411E-02,4.419E+00,1.656E+00,-1.934E-01,2.868E+00,1.910E+00,3.142E+00,1.123E-05,2.795E+00,2.796E+00,1.226E-01,3.681E+00,1.793E+00,-3.539E-01,3.358E+00,1.638E+00,3.142E+00,2.371E-03,2.356E+00,2.390E+00,6.190E-02,6.543E+00
39,0.000E+00,3.690E-02,4.946E-03,0.000E+00,7.196E-07,1.185E-04,3.196E-02,1.105E-01,5.598E+00,1.754E+00,-3.865E-01,4.043E+00,1.695E+00,3.142E+00,-3.811E-03,2.460E+00,2.404E+00,9.389E-02,4.428E+00,1.656E+00,-1.987E-01,2.917E+00,1.910E+00,3.142E+00,-4.910E-05,2.797E+00,2.796E+00,1.222E-01,3.692E+00,1.795E+00,-3.544E-01,3.329E+00,1.644E+00,3.142E+00,2.337E-03,2.361E+00,2.395E+00,6.167E-02,6.564E+00
40,0.000E+00,3.779E-02,4.867E-03,0.000E+00,7.710E-07,1.239E-04,3.293E-02,1.132E-01,5.734E+00,1.751E+00,-3.951E-01,4.153E+00,1.703E+00,3.142E+00,-3.723E-03,2.469E+00,2.414E+00,9.367E-02,4.437E+00,1.656E+00,-2.041E-01,2.965E+00,1.910E+00,3.142E+00,-1.094E-04,2.798E+00,2.796E+00,1.218E-01,3.703E+00,1.796E+00,-3.549E-01,3.300E+00,1.650E+00,3.142E+00,2.302E-03,2.366E+00,2.399E+00,6.145E-02,6.585E+00
41,0.000E+00,3.869E-02,4.787E-03,0.000E+00,8.224E-07,1.294E-04,3.390E-02,1.159E-01,5.870E+00,1.748E+00,-4.036E-01,4.264E+00,1.711E+00,3.142E+00,-3.634E-03,2.479E+00,2.424E+00,9.346E-02,4.447E+00,1.655E+00,-2.095E-01,3.014E+00,1.910E+00,3.142E+00,-1.698E-04,2.799E+00,2.796E+00,1.214E-01,3.714E+00,1.797E+00,-3.554E-01,3.272E+00,1.656E+00,3.142E+00,2.267E-03,2.370E+00,2.403E+00,6.122E-02,6.607E+00
42,0.000E+00,3.959E-02,4.707E-03,0.000E+00,8.738E-07,1.349E-04,3.487E-02,1.185E-01,6.006E+00,1.746E+00,-4.122E-01,4.374E+00,1.719E+00,3.142E+00,-3.545E-03,2.488E+00,2.435E+00,9.324E-02,4.456E+00,1.655E+00,-2.149E-01,3.062E+00,1.909E+00,3.142E+00,-2.301E-04,2.800E+00,2.796E+00,1.210E-01,3.725E+00,1.799E+00,-3.559E-01,3.243E+00,1.662E+00,3.142E+00,2.233E-03,2.375E+00,2.408E+00,6.099E-02,6.628E+00
