alpha,He,Ca,Mg,Si,O,Ca_1,O_1,Mg_2,O_2,Si_3,O_3,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
49,0.000E+00,0.000E+00,2.419E-02,1.001E-02,0.000E+00,2.428E-02,2.850E-02,2.598E-05,9.229E-05,3.835E-02,1.169E-01,5.247E+00,1.631E+00,-3.770E-01,4.800E+00,2.040E+00,3.142E+00,1.820E-03,2.517E+00,2.545E+00,1.144E-01,3.774E+00,1.621E+00,-2.619E-01,3.766E+00,1.976E+00,3.142E+00,-1.097E-03,2.788E+00,2.769E+00,2.633E-01,1.752E+00,1.658E+00,-2.621E-01,3.367E+00,1.951E+00,3.142E+00,3.908E-03,2.570E+00,2.633E+00,1.237E-01,3.647E+00,1.780E+00,-6.291E-01,1.215E+01,1.283E+00,3.142E+00,-1.118E-04,2.456E+00,2.454E+00,7.385E-02,5.777E+00
50,0.000E+00,0.000E+00,2.472E-02,1.009E-02,0.000E+00,2.480E-02,2.907E-02,2.734E-05,9.609E-05,3.926E-02,1.194E-01,5.357E+00,1.635E+00,-3.434E-01,4.013E+00,2.152E+00,3.142E+00,1.781E-03,2.523E+00,2.551E+00,1.144E-01,3.772E+00,1.642E+00,-2.896E-01,4.058E+00,1.869E+00,3.142E+00,-1.261E-03,2.824E+00,2.801E+00,2.656E-01,1.736E+00,1.655E+00,-2.552E-01,3.289E+00,1.979E+00,3.142E+00,4.346E-03,2.569E+00,2.639E+00,1.236E-01,3.649E+00,1.794E+00,-6.550E-01,1.317E+01,1.248E+00,3.142E+00,-6.591E-04,2.479E+00,2.469E+00,7.380E-02,5.780E+00
51,0.000E+00,0.000E+00,2.621E-02,1.037E-02,0.000E+00,2.627E-02,3.078E-02,3.252E-05,1.133E-04,4.200E-02,1.266E-01,5.682E+00,1.563E+00,-3.850E-01,6.258E+00,2.054E+00,3.142E+00,1.634E-03,2.507E+00,2.533E+00,1.154E-01,3.744E+00,1.596E+00,-3.249E-01,5.668E+00,1.783E+00,3.142E+00,-1.153E-03,2.790E+00,2.769E+00,2.650E-01,1.740E+00,1.640E+00,-2.768E-01,3.821E+00,1.915E+00,3.142E+00,4.306E-03,2.569E+00,2.639E+00,1.232E-01,3.661E+00,1.778E+00,-6.585E-01,1.397E+01,1.265E+00,3.142E+00,-1.767E-04,2.467E+00,2.464E+00,7.370E-02,5.788E+00
52,0.000E+00,0.000E+00,2.770E-02,1.064E-02,0.000E+00,2.775E-02,3.248E-02,3.770E-05,1.305E-04,4.474E-02,1.339E-01,6.006E+00,1.536E+00,-4.265E-01,8.503E+00,1.956E+00,3.142E+00,1.488E-03,2.492E+00,2.515E+00,1.164E-01,3.716E+00,1.578E+00,-3.601E-01,7.278E+00,1.697E+00,3.142E+00,-1.045E-03,2.756E+00,2.738E+00,2.644E-01,1.743E+00,1.633E+00,-2.983E-01,4.354E+00,1.852E+00,3.142E+00,4.266E-03,2.569E+00,2.639E+00,1.228E-01,3.674E+00,1.763E+00,-6.619E-01,1.477E+01,1.282E+00,3.142E+00,3.056E-04,2.454E+00,2.458E+00,7.360E-02,5.795E+00
53,0.000E+00,0.000E+00,2.919E-02,1.092E-02,0.000E+00,2.923E-02,3.419E-02,4.287E-05,1.477E-04,4.748E-02,1.412E-01,6.331E+00,1.532E+00,-4.681E-01,1.075E+01,1.858E+00,3.142E+00,1.342E-03,2.477E+00,2.498E+00,1.173E-01,3.689E+00,1.577E+00,-3.954E-01,8.888E+00,1.611E+00,3.142E+00,-9.373E-04,2.723E+00,2.706E+00,2.638E-01,1.747E+00,1.631E+00,-3.199E-01,4.887E+00,1.788E+00,3.142E+00,4.226E-03,2.569E+00,2.638E+00,1.223E-01,3.686E+00,1.750E+00,-6.653E-01,1.557E+01,1.298E+00,3.142E+00,7.880E-04,2.441E+00,2.453E+00,7.350E-02,5.803E+00
54,0.000E+00,0.000E+00,2.994E-02,1.106E-02,0.000E+00,2.997E-02,3.504E-02,4.546E-05,1.562E-04,4.885E-02,1.448E-01,6.493E+00,1.536E+00,-4.889E-01,1.187E+01,1.809E+00,3.142E+00,1.268E-03,2.469E+00,2.489E+00,1.178E-01,3.675E+00,1.581E+00,-4.131E-01,9.693E+00,1.568E+00,3.142E+00,-8.834E-04,2.706E+00,2.690E+00,2.635E-01,1.749E+00,1.632E+00,-3.306E-01,5.153E+00,1.757E+00,3.142E+00,4.205E-03,2.570E+00,2.638E+00,1.221E-01,3.692E+00,1.743E+00,-6.670E-01,1.597E+01,1.307E+00,3.142E+00,1.029E-03,2.435E+00,2.450E+00,7.344E-02,5.807E+00
55,0.000E+00,0.000E+00,3.068E-02,1.120E-02,0.000E+00,3.071E-02,3.590E-02,4.805E-05,1.648E-04,5.022E-02,1.485E-01,6.655E+00,1.543E+00,-5.097E-01,1.299E+01,1.760E+00,3.142E+00,1.195E-03,2.462E+00,2.480E+00,1.183E-01,3.661E+00,1.588E+00,-4.307E-01,1.050E+01,1.525E+00,3.142E+00,-8.294E-04,2.689E+00,2.674E+00,2.632E-01,1.751E+00,1.634E+00,-3.414E-01,5.420E+00,1.725E+00,3.142E+00,4.185E-03,2.570E+00,2.638E+00,1.219E-01,3.698E+00,1.736E+00,-6.687E-01,1.637E+01,1.315E+00,3.142E+00,1.270E-03,2.429E+00,2.447E+00,7.339E-02,5.810E+00
56,0.000E+00,0.000E+00,3.218E-02,1.148E-02,0.000E+00,3.219E-02,3.760E-02,5.322E-05,1.820E-04,5.296E-02,1.557E-01,6.980E+00,1.564E+00,-5.513E-01,1.524E+01,1.662E+00,3.142E+00,1.049E-03,2.446E+00,2.462E+00,1.192E-01,3.634E+00,1.607E+00,-4.660E-01,1.211E+01,1.439E+00,3.142E+00,-7.216E-04,2.655E+00,2.643E+00,2.627E-01,1.755E+00,1.640E+00,-3.629E-01,5.953E+00,1.661E+00,3.142E+00,4.145E-03,2.570E+00,2.637E+00,1.215E-01,3.711E+00,1.724E+00,-6.721E-01,1.717E+01,1.332E+00,3.142E+00,1.753E-03,2.416E+00,2.442E+00,7.329E-02,5.818E+00
57,0.000E+00,0.000E+00,3.367E-02,1.176E-02,0.000E+00,3.367E-02,3.931E-02,5.840E-05,1.992E-04,5.570E-02,1.630E-01,7.304E+00,1.592E+00,-5.929E-01,1.748E+01,1.564E+00,3.142E+00,9.026E-04,2.431E+00,2.445E+00,1.202E-01,3.606E+00,1.633E+00,-5.013E-01,1.372E+01,1.354E+00,3.142E+00,-6.138E-04,2.621E+00,2.611E+00,2.621E-01,1.758E+00,1.650E+00,-3.845E-01,6.485E+00,1.598E+00,3.142E+00,4.105E-03,2.570E+00,2.637E+00,1.211E-01,3.723E+00,1.712E+00,-6.756E-01,1.797E+01,1.348E+00,3.142E+00,2.235E-03,2.404E+00,2.437E+00,7.319E-02,5.825E+00
58,0.000E+00,0.000E+00,3.516E-02,1.203E-02,0.000E+00,3.515E-02,4.102E-02,6.357E-05,2.164E-04,5.844E-02,1.703E-01,7.629E+00,1.627E+00,-6.345E-01,1.973E+01,1.466E+00,3.142E+00,7.563E-04,2.416E+00,2.427E+00,1.211E-01,3.578E+00,1.665E+00,-5.366E-01,1.533E+01,1.268E+00,3.142E+00,-5.060E-04,2.588E+00,2.579E+00,2.615E-01,1.762E+00,1.663E+00,-4.060E-01,7.018E+00,1.534E+00,3.142E+00,4.065E-03,2.571E+00,2.637E+00,1.206E-01,3.735E+00,1.701E+00,-6.790E-01,1.877E+01,1.365E+00,3.142E+00,2.717E-03,2.391E+00,2.431E+00,7.309E-02,5.833E+00
59,0.000E+00,0.000E+00,3.590E-02,1.217E-02,0.000E+00,3.589E-02,4.187E-02,6.616E-05,2.250E-04,5.981E-02,1.739E-01,7.791E+00,1.647E+00,-6.553E-01,2.085E+01,1.417E+00,3.142E+00,6.831E-04,2.408E+00,2.418E+00,1.216E-01,3.565E+00,1.683E+00,-5.542E-01,1.613E+01,1.225E+00,3.142E+00,-4.521E-04,2.571E+00,2.564E+00,2.612E-01,1.764E+00,1.670E+00,-4.168E-01,7.285E+00,1.502E+00,3.142E+00,4.045E-03,2.571E+00,2.636E+00,1.204E-01,3.742E+00,1.695E+00,-6.807E-01,1.917E+01,1.374E+00,3.142E+00,2.959E-03,2.385E+00,2.428E+00,7.303E-02,5.837E+00
60,0.000E+00,0.000E+00,3.665E-02,1.231E-02,0.000E+00,3.663E-02,4.273E-02,6.875E-05,2.336E-04,6.118E-02,1.776E-01,7.953E+00,1.669E+00,-6.761E-01,2.197E+01,1.368E+00,3.142E+00,6.099E-04,2.400E+00,2.409E+00,1.221E-01,3.551E+00,1.702E+00,-5.719E-01,1.694E+01,1.182E+00,3.142E+00,-3.982E-04,2.554E+00,2.548E+00,2.609E-01,1.766E+00,1.678E+00,-4.275E-01,7.551E+00,1.471E+00,3.142E+00,4.025E-03,2.571E+00,2.636E+00,1.202E-01,3.748E+00,1.690E+00,-6.824E-01,1.957E+01,1.382E+00,3.142E+00,3.200E-03,2.378E+00,2.426E+00,7.298E-02,5.840E+00
61,0.000E+00,0.000E+00,3.892E-02,1.249E-02,0.000E+00,3.898E-02,4.536E-02,7.871E-05,2.596E-04,6.558E-02,1.888E-01,8.453E+00,1.635E+00,-6.564E-01,2.059E+01,1.467E+00,3.142E+00,8.436E-04,2.414E+00,2.427E+00,1.198E-01,3.616E+00,1.683E+00,-5.414E-01,1.537E+01,1.222E+00,3.142E+00,-6.505E-04,2.588E+00,2.577E+00,2.616E-01,1.761E+00,1.665E+00,-4.267E-01,7.709E+00,1.497E+00,3.142E+00,3.367E-03,2.575E+00,2.629E+00,1.207E-01,3.733E+00,1.665E+00,-6.551E-01,1.810E+01,1.446E+00,3.142E+00,2.263E-03,2.367E+00,2.400E+00,7.301E-02,5.839E+00
62,0.000E+00,0.000E+00,4.119E-02,1.268E-02,0.000E+00,4.132E-02,4.799E-02,8.867E-05,2.855E-04,6.997E-02,1.999E-01,8.952E+00,1.605E+00,-6.368E-01,1.922E+01,1.566E+00,3.142E+00,1.077E-03,2.428E+00,2.444E+00,1.176E-01,3.682E+00,1.668E+00,-5.109E-01,1.381E+01,1.263E+00,3.142E+00,-9.028E-04,2.621E+00,2.606E+00,2.624E-01,1.756E+00,1.652E+00,-4.259E-01,7.867E+00,1.524E+00,3.142E+00,2.709E-03,2.578E+00,2.622E+00,1.212E-01,3.719E+00,1.643E+00,-6.277E-01,1.662E+01,1.510E+00,3.142E+00,1.326E-03,2.355E+00,2.375E+00,7.303E-02,5.837E+00
63,0.000E+00,0.000E+00,4.346E-02,1.286E-02,0.000E+00,4.367E-02,5.062E-02,9.863E-05,3.115E-04,7.437E-02,2.111E-01,9.452E+00,1.579E+00,-6.171E-01,1.784E+01,1.664E+00,3.142E+00,1.311E-03,2.442E+00,2.462E+00,1.153E-01,3.748E+00,1.656E+00,-4.804E-01,1.225E+01,1.303E+00,3.142E+00,-1.155E-03,2.655E+00,2.636E+00,2.631E-01,1.751E+00,1.640E+00,-4.250E-01,8.025E+00,1.551E+00,3.142E+00,2.052E-03,2.582E+00,2.615E+00,1.217E-01,3.705E+00,1.624E+00,-6.004E-01,1.514E+01,1.573E+00,3.142E+00,3.884E-04,2.343E+00,2.349E+00,7.306E-02,5.835E+00
64,0.000E+00,0.000E+00,4.460E-02,1.295E-02,0.000E+00,4.485E-02,5.193E-02,1.036E-04,3.245E-04,7.657E-02,2.167E-01,9.701E+00,1.567E+00,-6.073E-01,1.715E+01,1.714E+00,3.142E+00,1.428E-03,2.449E+00,2.470E+00,1.142E-01,3.780E+00,1.652E+00,-4.651E-01,1.146E+01,1.323E+00,3.142E+00,-1.281E-03,2.672E+00,2.650E+00,2.635E-01,1.749E+00,1.634E+00,-4.246E-01,8.104E+00,1.565E+00,3.142E+00,1.723E-03,2.584E+00,2.612E+00,1.219E-01,3.698E+00,1.616E+00,-5.867E-01,1.440E+01,1.605E+00,3.142E+00,-8.018E-05,2.337E+00,2.336E+00,7.307E-02,5.834E+00
65,0.000E+00,0.000E+00,4.573E-02,1.304E-02,0.000E+00,4.602E-02,5.325E-02,1.086E-04,3.375E-04,7.877E-02,2.223E-01,9.951E+00,1.556E+00,-5.975E-01,1.646E+01,1.763E+00,3.142E+00,1.545E-03,2.456E+00,2.479E+00,1.131E-01,3.813E+00,1.650E+00,-4.499E-01,1.068E+01,1.343E+00,3.142E+00,-1.407E-03,2.689E+00,2.665E+00,2.639E-01,1.747E+00,1.628E+00,-4.242E-01,8.183E+00,1.578E+00,3.142E+00,1.394E-03,2.586E+00,2.608E+00,1.222E-01,3.691E+00,1.608E+00,-5.731E-01,1.366E+01,1.637E+00,3.142E+00,-5.488E-04,2.331E+00,2.324E+00,7.308E-02,5.833E+00
66,0.000E+00,0.000E+00,4.897E-02,1.327E-02,0.000E+00,4.923E-02,5.665E-02,1.209E-04,3.654E-04,8.505E-02,2.383E-01,1.065E+01,1.525E+00,-5.710E-01,1.535E+01,1.882E+00,3.142E+00,1.402E-03,2.461E+00,2.482E+00,1.126E-01,3.829E+00,1.616E+00,-4.330E-01,1.021E+01,1.449E+00,3.142E+00,-1.732E-03,2.701E+00,2.671E+00,2.616E-01,1.762E+00,1.608E+00,-4.196E-01,8.325E+00,1.626E+00,3.142E+00,1.278E-03,2.587E+00,2.608E+00,1.219E-01,3.699E+00,1.582E+00,-5.557E-01,1.300E+01,1.733E+00,3.142E+00,1.745E-03,2.303E+00,2.327E+00,7.314E-02,5.829E+00
67,0.000E+00,0.000E+00,5.220E-02,1.350E-02,0.000E+00,5.244E-02,6.005E-02,1.332E-04,3.934E-04,9.133E-02,2.543E-01,1.135E+01,1.496E+00,-5.445E-01,1.424E+01,2.000E+00,3.142E+00,1.259E-03,2.466E+00,2.485E+00,1.121E-01,3.845E+00,1.586E+00,-4.162E-01,9.737E+00,1.554E+00,3.142E+00,-2.057E-03,2.712E+00,2.678E+00,2.592E-01,1.777E+00,1.589E+00,-4.149E-01,8.468E+00,1.674E+00,3.142E+00,1.162E-03,2.589E+00,2.608E+00,1.216E-01,3.707E+00,1.559E+00,-5.384E-01,1.235E+01,1.829E+00,3.142E+00,4.038E-03,2.274E+00,2.330E+00,7.320E-02,5.824E+00
68,0.000E+00,0.000E+00,5.544E-02,1.374E-02,0.000E+00,5.566E-02,6.345E-02,1.455E-04,4.213E-04,9.762E-02,2.703E-01,1.206E+01,1.472E+00,-5.180E-01,1.313E+01,2.119E+00,3.142E+00,1.116E-03,2.471E+00,2.488E+00,1.116E-01,3.861E+00,1.559E+00,-3.993E-01,9.264E+00,1.659E+00,3.142E+00,-2.382E-03,2.724E+00,2.684E+00,2.569E-01,1.793E+00,1.570E+00,-4.103E-01,8.610E+00,1.723E+00,3.142E+00,1.045E-03,2.590E+00,2.607E+00,1.213E-01,3.715E+00,1.538E+00,-5.210E-01,1.169E+01,1.925E+00,3.142E+00,6.332E-03,2.246E+00,2.333E+00,7.326E-02,5.820E+00
69,0.000E+00,0.000E+00,5.706E-02,1.385E-02,0.000E+00,5.726E-02,6.515E-02,1.517E-04,4.353E-04,1.008E-01,2.783E-01,1.241E+01,1.461E+00,-5.048E-01,1.257E+01,2.178E+00,3.142E+00,1.044E-03,2.474E+00,2.489E+00,1.114E-01,3.869E+00,1.546E+00,-3.909E-01,9.027E+00,1.712E+00,3.142E+00,-2.544E-03,2.730E+00,2.687E+00,2.557E-01,1.800E+00,1.561E+00,-4.080E-01,8.681E+00,1.747E+00,3.142E+00,9.872E-04,2.591E+00,2.607E+00,1.212E-01,3.719E+00,1.528E+00,-5.124E-01,1.136E+01,1.973E+00,3.142E+00,7.479E-03,2.231E+00,2.334E+00,7.329E-02,5.818E+00
70,0.000E+00,0.000E+00,5.867E-02,1.397E-02,0.000E+00,5.887E-02,6.686E-02,1.578E-04,4.492E-04,1.039E-01,2.863E-01,1.276E+01,1.451E+00,-4.915E-01,1.201E+01,2.237E+00,3.142E+00,9.725E-04,2.476E+00,2.491E+00,1.111E-01,3.877E+00,1.535E+00,-3.825E-01,8.791E+00,1.765E+00,3.142E+00,-2.707E-03,2.736E+00,2.690E+00,2.546E-01,1.808E+00,1.552E+00,-4.057E-01,8.752E+00,1.771E+00,3.142E+00,9.291E-04,2.592E+00,2.607E+00,1.210E-01,3.723E+00,1.519E+00,-5.037E-01,1.103E+01,2.021E+00,3.142E+00,8.625E-03,2.217E+00,2.336E+00,7.332E-02,5.815E+00
71,0.000E+00,0.000E+00,6.193E-02,1.386E-02,0.000E+00,6.218E-02,7.059E-02,1.777E-04,4.770E-04,1.105E-01,3.021E-01,1.346E+01,1.457E+00,-4.765E-01,1.156E+01,2.191E+00,3.142E+00,5.865E-04,2.438E+00,2.447E+00,1.151E-01,3.756E+00,1.526E+00,-3.462E-01,7.236E+00,1.901E+00,3.142E+00,-7.869E-04,2.682E+00,2.669E+00,2.506E-01,1.836E+00,1.559E+00,-3.854E-01,7.860E+00,1.786E+00,3.142E+00,1.328E-03,2.557E+00,2.578E+00,1.217E-01,3.704E+00,1.516E+00,-4.934E-01,1.033E+01,2.073E+00,3.142E+00,3.707E-03,2.290E+00,2.341E+00,7.291E-02,5.846E+00
72,0.000E+00,0.000E+00,6.519E-02,1.376E-02,0.000E+00,6.550E-02,7.433E-02,1.977E-04,5.047E-04,1.171E-01,3.179E-01,1.417E+01,1.464E+00,-4.616E-01,1.112E+01,2.144E+00,3.142E+00,2.005E-04,2.401E+00,2.404E+00,1.190E-01,3.636E+00,1.535E+00,-3.099E-01,5.681E+00,2.036E+00,3.142E+00,1.133E-03,2.628E+00,2.647E+00,2.466E-01,1.864E+00,1.570E+00,-3.651E-01,6.969E+00,1.802E+00,3.142E+00,1.726E-03,2.522E+00,2.549E+00,1.224E-01,3.685E+00,1.515E+00,-4.831E-01,9.624E+00,2.125E+00,3.142E+00,-1.212E-03,2.364E+00,2.346E+00,7.249E-02,5.877E+00
73,0.000E+00,0.000E+00,6.872E-02,1.397E-02,3.906E-07,6.900E-02,7.761E-02,2.062E-04,4.973E-04,1.239E-01,3.357E-01,1.493E+01,1.427E+00,-4.407E-01,1.047E+01,2.350E+00,3.142E+00,2.731E-03,2.385E+00,2.425E+00,1.154E-01,3.744E+00,1.513E+00,-3.283E-01,6.725E+00,1.992E+00,3.142E+00,1.859E-03,2.567E+00,2.597E+00,2.507E-01,1.835E+00,1.527E+00,-3.547E-01,6.898E+00,1.992E+00,3.142E+00,1.100E-03,2.544E+00,2.561E+00,1.221E-01,3.691E+00,1.513E+00,-4.678E-01,9.387E+00,2.113E+00,3.142E+00,2.692E-04,2.354E+00,2.358E+00,7.197E-02,5.916E+00
74,0.000E+00,0.000E+00,7.225E-02,1.418E-02,7.812E-07,7.250E-02,8.089E-02,2.148E-04,4.898E-04,1.308E-01,3.535E-01,1.570E+01,1.396E+00,-4.198E-01,9.815E+00,2.557E+00,3.142E+00,5.261E-03,2.369E+00,2.446E+00,1.118E-01,3.853E+00,1.500E+00,-3.467E-01,7.768E+00,1.947E+00,3.142E+00,2.586E-03,2.507E+00,2.547E+00,2.547E-01,1.807E+00,1.488E+00,-3.443E-01,6.827E+00,2.182E+00,3.142E+00,4.732E-04,2.566E+00,2.573E+00,1.219E-01,3.697E+00,1.510E+00,-4.524E-01,9.151E+00,2.101E+00,3.142E+00,1.750E-03,2.345E+00,2.370E+00,7.145E-02,5.956E+00
75,0.000E+00,0.000E+00,7.617E-02,1.354E-02,7.812E-07,7.639E-02,8.509E-02,2.109E-04,4.961E-04,1.393E-01,3.727E-01,1.654E+01,1.391E+00,-4.139E-01,9.216E+00,2.670E+00,3.142E+00,1.974E-03,2.383E+00,2.412E+00,1.147E-01,3.764E+00,1.528E+00,-3.438E-01,7.258E+00,1.875E+00,3.142E+00,4.101E-03,2.466E+00,2.529E+00,2.552E-01,1.804E+00,1.478E+00,-3.381E-01,6.893E+00,2.199E+00,3.142E+00,1.117E-03,2.558E+00,2.575E+00,1.218E-01,3.700E+00,1.478E+00,-4.502E-01,9.220E+00,2.264E+00,3.142E+00,1.075E-02,2.162E+00,2.300E+00,7.109E-02,5.984E+00
76,0.000E+00,0.000E+00,8.009E-02,1.291E-02,7.812E-07,8.029E-02,8.929E-02,2.070E-04,5.023E-04,1.478E-01,3.920E-01,1.739E+01,1.388E+00,-4.080E-01,8.617E+00,2.784E+00,3.142E+00,-1.313E-03,2.397E+00,2.378E+00,1.176E-01,3.676E+00,1.559E+00,-3.409E-01,6.749E+00,1.802E+00,3.142E+00,5.615E-03,2.426E+00,2.511E+00,2.557E-01,1.800E+00,1.468E+00,-3.319E-01,6.958E+00,2.216E+00,3.142E+00,1.760E-03,2.550E+00,2.578E+00,1.217E-01,3.703E+00,1.448E+00,-4.480E-01,9.289E+00,2.427E+00,3.142E+00,1.976E-02,1.979E+00,2.229E+00,7.072E-02,6.013E+00
77,0.000E+00,0.000E+00,8.460E-02,1.166E-02,3.906E-07,8.484E-02,9.381E-02,2.309E-04,5.273E-04,1.580E-01,4.146E-01,1.837E+01,1.369E+00,-3.979E-01,8.432E+00,2.924E+00,3.142E+00,7.913E-03,2.284E+00,2.395E+00,1.186E-01,3.649E+00,1.450E+00,-3.148E-01,7.066E+00,2.228E+00,3.142E+00,5.668E-03,2.468E+00,2.556E+00,2.589E-01,1.779E+00,1.454E+00,-3.092E-01,6.330E+00,2.354E+00,3.142E+00,1.791E-03,2.522E+00,2.550E+00,1.222E-01,3.690E+00,1.402E+00,-4.119E-01,8.509E+00,2.718E+00,3.142E+00,1.204E-02,2.071E+00,2.225E+00,6.994E-02,6.075E+00
78,0.000E+00,0.000E+00,8.911E-02,1.041E-02,0.000E+00,8.939E-02,9.832E-02,2.547E-04,5.523E-04,1.682E-01,4.373E-01,1.935E+01,1.351E+00,-3.877E-01,8.247E+00,3.064E+00,3.142E+00,1.714E-02,2.171E+00,2.411E+00,1.195E-01,3.622E+00,1.358E+00,-2.887E-01,7.382E+00,2.653E+00,3.142E+00,5.721E-03,2.510E+00,2.601E+00,2.620E-01,1.759E+00,1.444E+00,-2.865E-01,5.702E+00,2.492E+00,3.142E+00,1.823E-03,2.495E+00,2.523E+00,1.226E-01,3.677E+00,1.365E+00,-3.758E-01,7.729E+00,3.009E+00,3.142E+00,4.321E-03,2.164E+00,2.220E+00,6.916E-02,6.137E+00
79,0.000E+00,0.000E+00,9.297E-02,9.300E-03,2.734E-06,9.328E-02,1.017E-01,2.578E-04,5.828E-04,1.772E-01,4.573E-01,2.019E+01,1.344E+00,-3.640E-01,7.715E+00,3.128E+00,3.142E+00,2.774E-02,1.964E+00,2.314E+00,1.148E-01,3.766E+00,1.372E+00,-2.933E-01,6.962E+00,2.684E+00,3.142E+00,1.037E-02,2.338E+00,2.488E+00,2.562E-01,1.798E+00,1.427E+00,-2.807E-01,5.688E+00,2.588E+00,3.142E+00,4.755E-03,2.375E+00,2.443E+00,1.217E-01,3.703E+00,1.350E+00,-3.598E-01,7.258E+00,3.183E+00,3.142E+00,6.328E-03,2.084E+00,2.164E+00,6.917E-02,6.137E+00
80,0.000E+00,0.000E+00,9.683E-02,8.194E-03,5.469E-06,9.717E-02,1.050E-01,2.609E-04,6.133E-04,1.861E-01,4.773E-01,2.104E+01,1.339E+00,-3.402E-01,7.183E+00,3.191E+00,3.142E+00,3.835E-02,1.757E+00,2.216E+00,1.101E-01,3.910E+00,1.387E+00,-2.978E-01,6.543E+00,2.714E+00,3.142E+00,1.503E-02,2.167E+00,2.374E+00,2.505E-01,1.836E+00,1.411E+00,-2.749E-01,5.675E+00,2.683E+00,3.142E+00,7.688E-03,2.254E+00,2.362E+00,1.208E-01,3.730E+00,1.339E+00,-3.438E-01,6.786E+00,3.356E+00,3.142E+00,8.335E-03,2.005E+00,2.107E+00,6.918E-02,6.136E+00
81,0.000E+00,0.000E+00,9.978E-02,5.670E-03,6.641E-06,1.001E-01,1.069E-01,2.785E-04,6.180E-04,1.944E-01,4.929E-01,2.167E+01,1.279E+00,-3.212E-01,6.921E+00,3.794E+00,3.142E+00,2.781E-02,1.811E+00,2.142E+00,1.110E-01,3.881E+00,1.370E+00,-2.702E-01,6.218E+00,2.796E+00,3.142E+00,1.288E-02,2.174E+00,2.351E+00,2.510E-01,1.832E+00,1.365E+00,-2.639E-01,5.702E+00,3.000E+00,3.142E+00,1.185E-02,2.155E+00,2.313E+00,1.193E-01,3.775E+00,1.289E+00,-3.323E-01,6.848E+00,3.795E+00,3.142E+00,1.713E-02,1.867E+00,2.062E+00,6.906E-02,6.145E+00
82,0.000E+00,0.000E+00,1.027E-01,3.147E-03,7.813E-06,1.029E-01,1.089E-01,2.961E-04,6.227E-04,2.028E-01,5.085E-01,2.230E+01,1.231E+00,-3.021E-01,6.659E+00,4.397E+00,3.142E+00,1.728E-02,1.866E+00,2.069E+00,1.119E-01,3.852E+00,1.354E+00,-2.426E-01,5.893E+00,2.878E+00,3.142E+00,1.074E-02,2.181E+00,2.328E+00,2.516E-01,1.828E+00,1.323E+00,-2.528E-01,5.729E+00,3.316E+00,3.142E+00,1.601E-02,2.055E+00,2.263E+00,1.178E-01,3.820E+00,1.245E+00,-3.207E-01,6.911E+00,4.233E+00,3.142E+00,2.593E-02,1.728E+00,2.016E+00,6.895E-02,6.155E+00
83,0.000E+00,0.000E+00,1.014E-01,1.953E-03,5.469E-06,1.017E-01,1.068E-01,3.148E-04,6.461E-04,2.014E-01,5.026E-01,2.202E+01,1.187E+00,-3.027E-01,7.029E+00,4.875E+00,3.142E+00,3.871E-02,1.588E+00,1.970E+00,1.078E-01,3.991E+00,1.259E+00,-2.101E-01,5.537E+00,3.811E+00,3.142E+00,2.393E-02,1.887E+00,2.156E+00,2.506E-01,1.836E+00,1.278E+00,-2.361E-01,5.588E+00,3.767E+00,3.142E+00,1.350E-02,1.999E+00,2.168E+00,1.171E-01,3.841E+00,1.201E+00,-3.103E-01,6.738E+00,4.896E+00,3.142E+00,4.835E-02,1.472E+00,1.937E+00,6.717E-02,6.309E+00
84,0.000E+00,0.000E+00,9.998E-02,7.594E-04,3.125E-06,1.004E-01,1.047E-01,3.336E-04,6.695E-04,2.000E-01,4.968E-01,2.173E+01,1.148E+00,-3.033E-01,7.400E+00,5.353E+00,3.142E+00,6.014E-02,1.309E+00,1.872E+00,1.038E-01,4.130E+00,1.192E+00,-1.777E-01,5.181E+00,4.745E+00,3.142E+00,3.711E-02,1.592E+00,1.983E+00,2.495E-01,1.843E+00,1.240E+00,-2.194E-01,5.447E+00,4.219E+00,3.142E+00,1.099E-02,1.943E+00,2.073E+00,1.164E-01,3.863E+00,1.166E+00,-3.000E-01,6.564E+00,5.559E+00,3.142E+00,7.076E-02,1.215E+00,1.857E+00,6.538E-02,6.464E+00
