alpha,H,Mn,S,Mn_1,S_1,amu/ion,phiK_Mn,phiTilt_Mn,phiM_Mn,phiN_Mn,thetaK_Mn,thetaTilt_Mn,thetaM_Mn,thetaN_Mn,energyK_Mn,energyE_Mn,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
66,0.000E+00,4.024E-03,0.000E+00,2.887E-02,3.283E-02,2.860E+00,1.649E+00,-7.053E-01,1.958E+01,1.569E+00,3.142E+00,1.699E-03,2.320E+00,2.342E+00,7.821E-02,3.303E+00,1.642E+00,-6.243E-01,1.595E+01,1.531E+00,3.142E+00,7.090E-03,2.339E+00,2.443E+00,9.990E-02,3.104E+00
67,0.000E+00,4.125E-03,0.000E+00,3.116E-02,3.522E-02,3.068E+00,1.623E+00,-6.895E-01,1.893E+01,1.646E+00,3.142E+00,3.879E-03,2.272E+00,2.324E+00,7.918E-02,3.274E+00,1.620E+00,-6.041E-01,1.502E+01,1.604E+00,3.142E+00,5.468E-03,2.363E+00,2.443E+00,1.008E-01,3.083E+00
68,0.000E+00,4.226E-03,0.000E+00,3.345E-02,3.761E-02,3.276E+00,1.599E+00,-6.737E-01,1.828E+01,1.723E+00,3.142E+00,6.058E-03,2.225E+00,2.306E+00,8.015E-02,3.245E+00,1.600E+00,-5.840E-01,1.408E+01,1.677E+00,3.142E+00,3.846E-03,2.387E+00,2.443E+00,1.016E-01,3.062E+00
69,0.000E+00,4.277E-03,0.000E+00,3.459E-02,3.881E-02,3.379E+00,1.587E+00,-6.658E-01,1.796E+01,1.761E+00,3.142E+00,7.148E-03,2.201E+00,2.297E+00,8.063E-02,3.230E+00,1.591E+00,-5.739E-01,1.361E+01,1.713E+00,3.142E+00,3.035E-03,2.399E+00,2.443E+00,1.021E-01,3.052E+00
70,0.000E+00,4.327E-03,0.000E+00,3.573E-02,4.000E-02,3.483E+00,1.576E+00,-6.579E-01,1.763E+01,1.800E+00,3.142E+00,8.237E-03,2.177E+00,2.288E+00,8.111E-02,3.216E+00,1.582E+00,-5.638E-01,1.315E+01,1.749E+00,3.142E+00,2.224E-03,2.410E+00,2.443E+00,1.025E-01,3.041E+00
71,0.000E+00,4.811E-03,0.000E+00,3.784E-02,4.260E-02,3.709E+00,1.555E+00,-6.341E-01,1.604E+01,1.899E+00,3.142E+00,7.730E-03,2.190E+00,2.295E+00,7.862E-02,3.292E+00,1.555E+00,-5.384E-01,1.198E+01,1.877E+00,3.142E+00,2.981E-03,2.399E+00,2.443E+00,1.022E-01,3.048E+00
72,0.000E+00,5.295E-03,0.000E+00,3.995E-02,4.520E-02,3.935E+00,1.538E+00,-6.103E-01,1.445E+01,1.999E+00,3.142E+00,7.222E-03,2.203E+00,2.302E+00,7.612E-02,3.367E+00,1.533E+00,-5.131E-01,1.082E+01,2.006E+00,3.142E+00,3.738E-03,2.388E+00,2.443E+00,1.019E-01,3.055E+00
73,0.000E+00,5.489E-03,0.000E+00,4.295E-02,4.832E-02,4.210E+00,1.516E+00,-6.004E-01,1.449E+01,2.075E+00,3.142E+00,6.506E-03,2.213E+00,2.302E+00,7.752E-02,3.324E+00,1.522E+00,-5.048E-01,1.084E+01,2.026E+00,3.142E+00,2.866E-03,2.362E+00,2.404E+00,1.019E-01,3.055E+00
74,0.000E+00,5.683E-03,0.000E+00,4.594E-02,5.145E-02,4.486E+00,1.493E+00,-5.906E-01,1.452E+01,2.152E+00,3.142E+00,5.791E-03,2.223E+00,2.302E+00,7.891E-02,3.281E+00,1.512E+00,-4.965E-01,1.085E+01,2.046E+00,3.142E+00,1.994E-03,2.336E+00,2.364E+00,1.019E-01,3.055E+00
75,0.000E+00,6.279E-03,0.000E+00,4.881E-02,5.491E-02,4.787E+00,1.467E+00,-5.749E-01,1.392E+01,2.287E+00,3.142E+00,5.847E-03,2.205E+00,2.284E+00,7.943E-02,3.265E+00,1.483E+00,-4.936E-01,1.104E+01,2.168E+00,3.142E+00,1.610E-03,2.334E+00,2.357E+00,1.012E-01,3.073E+00
76,0.000E+00,6.875E-03,0.000E+00,5.167E-02,5.837E-02,5.087E+00,1.443E+00,-5.592E-01,1.332E+01,2.422E+00,3.142E+00,5.902E-03,2.188E+00,2.267E+00,7.995E-02,3.250E+00,1.456E+00,-4.907E-01,1.122E+01,2.290E+00,3.142E+00,1.226E-03,2.332E+00,2.349E+00,1.005E-01,3.090E+00
77,0.000E+00,7.039E-03,0.000E+00,5.626E-02,6.326E-02,5.505E+00,1.412E+00,-5.397E-01,1.274E+01,2.595E+00,3.142E+00,8.286E-03,2.149E+00,2.259E+00,7.956E-02,3.261E+00,1.435E+00,-4.621E-01,9.990E+00,2.463E+00,3.142E+00,3.362E-03,2.295E+00,2.343E+00,1.010E-01,3.077E+00
78,0.000E+00,7.203E-03,0.000E+00,6.085E-02,6.814E-02,5.924E+00,1.385E+00,-5.201E-01,1.217E+01,2.768E+00,3.142E+00,1.067E-02,2.111E+00,2.251E+00,7.918E-02,3.273E+00,1.421E+00,-4.336E-01,8.756E+00,2.636E+00,3.142E+00,5.499E-03,2.259E+00,2.336E+00,1.015E-01,3.065E+00
79,0.000E+00,7.465E-03,0.000E+00,6.620E-02,7.368E-02,6.409E+00,1.371E+00,-5.068E-01,1.148E+01,2.905E+00,3.142E+00,9.968E-03,2.097E+00,2.227E+00,7.888E-02,3.282E+00,1.406E+00,-4.289E-01,8.907E+00,2.693E+00,3.142E+00,8.340E-03,2.189E+00,2.301E+00,1.019E-01,3.056E+00
80,0.000E+00,7.727E-03,0.000E+00,7.156E-02,7.922E-02,6.895E+00,1.359E+00,-4.936E-01,1.080E+01,3.042E+00,3.142E+00,9.267E-03,2.084E+00,2.203E+00,7.857E-02,3.291E+00,1.391E+00,-4.242E-01,9.058E+00,2.750E+00,3.142E+00,1.118E-02,2.119E+00,2.267E+00,1.022E-01,3.048E+00
81,0.000E+00,7.863E-03,0.000E+00,7.766E-02,8.552E-02,7.440E+00,1.323E+00,-4.780E-01,1.031E+01,3.368E+00,3.142E+00,9.637E-03,2.036E+00,2.157E+00,7.658E-02,3.354E+00,1.350E+00,-4.050E-01,8.553E+00,3.096E+00,3.142E+00,8.289E-03,2.147E+00,2.257E+00,1.001E-01,3.101E+00
82,0.000E+00,8.000E-03,0.000E+00,8.376E-02,9.183E-02,7.985E+00,1.292E+00,-4.625E-01,9.826E+00,3.695E+00,3.142E+00,1.001E-02,1.989E+00,2.111E+00,7.459E-02,3.417E+00,1.316E+00,-3.858E-01,8.047E+00,3.443E+00,3.142E+00,5.397E-03,2.176E+00,2.248E+00,9.793E-02,3.153E+00
83,0.000E+00,8.529E-03,0.000E+00,8.896E-02,9.757E-02,8.484E+00,1.223E+00,-4.462E-01,9.877E+00,4.404E+00,3.142E+00,2.158E-02,1.828E+00,2.070E+00,7.309E-02,3.468E+00,1.261E+00,-3.727E-01,8.166E+00,3.916E+00,3.142E+00,1.011E-02,2.044E+00,2.168E+00,9.705E-02,3.176E+00
84,0.000E+00,9.059E-03,0.000E+00,9.416E-02,1.033E-01,8.983E+00,1.166E+00,-4.299E-01,9.929E+00,5.114E+00,3.142E+00,3.316E-02,1.667E+00,2.030E+00,7.160E-02,3.519E+00,1.213E+00,-3.596E-01,8.284E+00,4.389E+00,3.142E+00,1.483E-02,1.913E+00,2.089E+00,9.617E-02,3.199E+00
85,0.000E+00,8.057E-03,0.000E+00,9.345E-02,1.015E-01,8.832E+00,1.027E+00,-4.086E-01,9.847E+00,8.127E+00,3.142E+00,6.109E-02,1.353E+00,1.902E+00,6.813E-02,3.651E+00,1.102E+00,-3.435E-01,8.496E+00,6.097E+00,3.142E+00,5.031E-02,1.521E+00,1.994E+00,9.197E-02,3.317E+00
86,0.000E+00,7.056E-03,0.000E+00,9.273E-02,9.978E-02,8.681E+00,9.447E-01,-3.873E-01,9.765E+00,1.114E+01,3.142E+00,8.901E-02,1.040E+00,1.774E+00,6.466E-02,3.784E+00,1.024E+00,-3.275E-01,8.707E+00,7.804E+00,3.142E+00,8.580E-02,1.128E+00,1.899E+00,8.776E-02,3.436E+00
87,0.000E+00,4.520E-03,0.000E+00,6.010E-02,6.456E-02,5.620E+00,6.743E-01,-3.306E-01,8.438E+00,8.151E+01,3.142E+00,8.898E-02,8.485E-01,1.455E+00,5.713E-02,4.165E+00,6.947E-01,-2.757E-01,8.338E+00,5.399E+01,3.142E+00,8.736E-02,9.060E-01,1.539E+00,7.944E-02,3.739E+00
88,0.000E+00,1.984E-03,0.000E+00,2.748E-02,2.934E-02,2.559E+00,6.519E-01,-2.739E-01,7.112E+00,1.519E+02,3.142E+00,8.895E-02,6.574E-01,1.135E+00,4.960E-02,4.547E+00,6.343E-01,-2.239E-01,7.969E+00,1.002E+02,3.142E+00,8.893E-02,6.837E-01,1.179E+00,7.112E-02,4.042E+00
89,0.000E+00,8.594E-06,0.000E+00,2.289E-04,2.461E-04,2.094E-02,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
