alpha,H,He,Ti,S,Ti_1,S_1,amu/ion,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S,phiK_Ti,phiTilt_Ti,phiM_Ti,phiN_Ti,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,energyK_Ti,energyE_Ti
35,0.000E+00,0.000E+00,6.922E-03,0.000E+00,4.288E-03,1.129E-02,8.997E-01,1.715E+00,-2.046E-01,2.277E+00,2.026E+00,3.142E+00,-2.895E-03,2.568E+00,2.522E+00,1.135E-01,2.804E+00,1.806E+00,-3.057E-01,2.864E+00,1.619E+00,3.142E+00,-4.492E-03,2.392E+00,2.328E+00,4.464E-02,5.095E+00
36,0.000E+00,0.000E+00,7.104E-03,0.000E+00,4.400E-03,1.160E-02,9.237E-01,1.714E+00,-2.115E-01,2.319E+00,2.031E+00,3.142E+00,-2.590E-03,2.564E+00,2.523E+00,1.133E-01,2.808E+00,1.805E+00,-3.150E-01,2.919E+00,1.630E+00,3.142E+00,-4.417E-03,2.386E+00,2.323E+00,4.461E-02,5.097E+00
37,0.000E+00,0.000E+00,7.285E-03,0.000E+00,4.513E-03,1.191E-02,9.476E-01,1.713E+00,-2.183E-01,2.361E+00,2.035E+00,3.142E+00,-2.285E-03,2.560E+00,2.524E+00,1.131E-01,2.813E+00,1.805E+00,-3.244E-01,2.973E+00,1.642E+00,3.142E+00,-4.342E-03,2.380E+00,2.318E+00,4.458E-02,5.100E+00
38,0.000E+00,0.000E+00,7.467E-03,0.000E+00,4.625E-03,1.222E-02,9.716E-01,1.713E+00,-2.251E-01,2.403E+00,2.040E+00,3.142E+00,-1.981E-03,2.555E+00,2.524E+00,1.129E-01,2.817E+00,1.804E+00,-3.337E-01,3.028E+00,1.653E+00,3.142E+00,-4.267E-03,2.374E+00,2.314E+00,4.455E-02,5.102E+00
39,0.000E+00,0.000E+00,7.648E-03,0.000E+00,4.738E-03,1.253E-02,9.956E-01,1.712E+00,-2.319E-01,2.444E+00,2.045E+00,3.142E+00,-1.676E-03,2.551E+00,2.525E+00,1.127E-01,2.821E+00,1.803E+00,-3.430E-01,3.082E+00,1.664E+00,3.142E+00,-4.191E-03,2.369E+00,2.309E+00,4.452E-02,5.104E+00
40,0.000E+00,0.000E+00,7.830E-03,0.000E+00,4.850E-03,1.284E-02,1.020E+00,1.712E+00,-2.388E-01,2.486E+00,2.049E+00,3.142E+00,-1.372E-03,2.547E+00,2.525E+00,1.124E-01,2.825E+00,1.802E+00,-3.524E-01,3.137E+00,1.676E+00,3.142E+00,-4.116E-03,2.363E+00,2.304E+00,4.449E-02,5.106E+00
41,0.000E+00,0.000E+00,8.011E-03,0.000E+00,4.963E-03,1.315E-02,1.043E+00,1.711E+00,-2.456E-01,2.528E+00,2.054E+00,3.142E+00,-1.067E-03,2.543E+00,2.526E+00,1.122E-01,2.830E+00,1.801E+00,-3.617E-01,3.191E+00,1.687E+00,3.142E+00,-4.041E-03,2.357E+00,2.300E+00,4.447E-02,5.109E+00
42,0.000E+00,0.000E+00,8.193E-03,0.000E+00,5.075E-03,1.346E-02,1.067E+00,1.711E+00,-2.524E-01,2.569E+00,2.059E+00,3.142E+00,-7.624E-04,2.538E+00,2.526E+00,1.120E-01,2.834E+00,1.801E+00,-3.710E-01,3.246E+00,1.699E+00,3.142E+00,-3.966E-03,2.351E+00,2.295E+00,4.444E-02,5.111E+00
43,0.000E+00,0.000E+00,8.374E-03,0.000E+00,5.188E-03,1.377E-02,1.091E+00,1.710E+00,-2.592E-01,2.611E+00,2.063E+00,3.142E+00,-4.578E-04,2.534E+00,2.527E+00,1.118E-01,2.838E+00,1.800E+00,-3.804E-01,3.300E+00,1.710E+00,3.142E+00,-3.890E-03,2.345E+00,2.290E+00,4.441E-02,5.113E+00
44,0.000E+00,0.000E+00,8.556E-03,0.000E+00,5.301E-03,1.408E-02,1.115E+00,1.710E+00,-2.661E-01,2.653E+00,2.068E+00,3.142E+00,-1.532E-04,2.530E+00,2.527E+00,1.116E-01,2.842E+00,1.799E+00,-3.897E-01,3.355E+00,1.721E+00,3.142E+00,-3.815E-03,2.339E+00,2.286E+00,4.438E-02,5.115E+00
45,0.000E+00,0.000E+00,8.737E-03,0.000E+00,5.413E-03,1.438E-02,1.139E+00,1.710E+00,-2.729E-01,2.694E+00,2.073E+00,3.142E+00,1.514E-04,2.525E+00,2.528E+00,1.114E-01,2.847E+00,1.799E+00,-3.991E-01,3.410E+00,1.733E+00,3.142E+00,-3.740E-03,2.333E+00,2.281E+00,4.435E-02,5.118E+00
46,0.000E+00,0.000E+00,9.359E-03,0.000E+00,5.564E-03,1.499E-02,1.196E+00,1.717E+00,-3.512E-01,3.688E+00,1.865E+00,3.142E+00,-1.596E-03,2.565E+00,2.539E+00,1.099E-01,2.877E+00,1.817E+00,-4.246E-01,3.591E+00,1.666E+00,3.142E+00,-4.087E-03,2.389E+00,2.330E+00,4.293E-02,5.236E+00
47,0.000E+00,0.000E+00,9.670E-03,0.000E+00,5.639E-03,1.529E-02,1.224E+00,1.733E+00,-3.904E-01,4.185E+00,1.761E+00,3.142E+00,-2.469E-03,2.584E+00,2.545E+00,1.092E-01,2.892E+00,1.827E+00,-4.374E-01,3.682E+00,1.633E+00,3.142E+00,-4.260E-03,2.417E+00,2.355E+00,4.221E-02,5.295E+00
48,0.000E+00,0.000E+00,9.981E-03,0.000E+00,5.715E-03,1.560E-02,1.252E+00,1.755E+00,-4.296E-01,4.682E+00,1.657E+00,3.142E+00,-3.343E-03,2.604E+00,2.550E+00,1.085E-01,2.907E+00,1.837E+00,-4.502E-01,3.772E+00,1.599E+00,3.142E+00,-4.434E-03,2.445E+00,2.380E+00,4.150E-02,5.353E+00
49,0.000E+00,0.000E+00,1.042E-02,0.000E+00,6.078E-03,1.644E-02,1.317E+00,1.738E+00,-4.211E-01,4.551E+00,1.733E+00,3.142E+00,-2.994E-03,2.618E+00,2.570E+00,1.068E-01,2.944E+00,1.817E+00,-5.196E-01,5.133E+00,1.559E+00,3.142E+00,-4.365E-04,2.374E+00,2.367E+00,4.210E-02,5.302E+00
50,0.000E+00,0.000E+00,1.064E-02,0.000E+00,6.259E-03,1.686E-02,1.350E+00,1.731E+00,-4.169E-01,4.486E+00,1.772E+00,3.142E+00,-2.819E-03,2.625E+00,2.580E+00,1.060E-01,2.963E+00,1.815E+00,-5.543E-01,5.813E+00,1.539E+00,3.142E+00,1.562E-03,2.339E+00,2.360E+00,4.240E-02,5.277E+00
51,0.000E+00,0.000E+00,1.086E-02,0.000E+00,6.440E-03,1.728E-02,1.382E+00,1.723E+00,-4.126E-01,4.420E+00,1.810E+00,3.142E+00,-2.645E-03,2.632E+00,2.589E+00,1.051E-01,2.981E+00,1.817E+00,-5.890E-01,6.494E+00,1.518E+00,3.142E+00,3.561E-03,2.303E+00,2.354E+00,4.270E-02,5.251E+00
52,0.000E+00,0.000E+00,1.156E-02,0.000E+00,6.959E-03,1.842E-02,1.478E+00,1.701E+00,-3.878E-01,3.957E+00,1.983E+00,3.142E+00,-2.110E-03,2.600E+00,2.566E+00,1.060E-01,2.961E+00,1.798E+00,-6.107E-01,7.392E+00,1.529E+00,3.142E+00,2.242E-03,2.341E+00,2.373E+00,4.246E-02,5.272E+00
53,0.000E+00,0.000E+00,1.191E-02,0.000E+00,7.219E-03,1.898E-02,1.525E+00,1.692E+00,-3.754E-01,3.725E+00,2.069E+00,3.142E+00,-1.843E-03,2.583E+00,2.554E+00,1.065E-01,2.951E+00,1.791E+00,-6.216E-01,7.841E+00,1.535E+00,3.142E+00,1.582E-03,2.360E+00,2.383E+00,4.233E-02,5.282E+00
54,0.000E+00,0.000E+00,1.226E-02,0.000E+00,7.479E-03,1.955E-02,1.573E+00,1.686E+00,-3.629E-01,3.494E+00,2.156E+00,3.142E+00,-1.576E-03,2.567E+00,2.542E+00,1.069E-01,2.941E+00,1.784E+00,-6.324E-01,8.290E+00,1.540E+00,3.142E+00,9.223E-04,2.379E+00,2.393E+00,4.221E-02,5.292E+00
55,0.000E+00,0.000E+00,1.278E-02,0.000E+00,8.079E-03,2.076E-02,1.665E+00,1.697E+00,-4.053E-01,4.124E+00,2.007E+00,3.142E+00,-1.335E-03,2.543E+00,2.522E+00,1.055E-01,2.974E+00,1.759E+00,-6.665E-01,9.692E+00,1.586E+00,3.142E+00,-9.620E-04,2.400E+00,2.386E+00,4.176E-02,5.331E+00
56,0.000E+00,0.000E+00,1.303E-02,0.000E+00,8.379E-03,2.137E-02,1.711E+00,1.706E+00,-4.264E-01,4.440E+00,1.932E+00,3.142E+00,-1.215E-03,2.532E+00,2.513E+00,1.047E-01,2.990E+00,1.749E+00,-6.835E-01,1.039E+01,1.610E+00,3.142E+00,-1.904E-03,2.410E+00,2.382E+00,4.154E-02,5.351E+00
57,0.000E+00,0.000E+00,1.329E-02,0.000E+00,8.680E-03,2.198E-02,1.756E+00,1.718E+00,-4.476E-01,4.755E+00,1.858E+00,3.142E+00,-1.094E-03,2.520E+00,2.503E+00,1.040E-01,3.006E+00,1.740E+00,-7.006E-01,1.109E+01,1.633E+00,3.142E+00,-2.846E-03,2.420E+00,2.378E+00,4.131E-02,5.370E+00
